# DIGITIZED_EXTERNAL_VALIDATION; Ginis et al. 2012 J Vis 12(3):20; y = Log(PSF) as printed (log10 of PSF in sr^-1, see README)
curve,theta_deg,log10_psf
GP,0.1329,3.5831
GP,0.1366,3.4978
GP,0.1403,3.4658
GP,0.1440,3.4232
GP,0.1477,3.3779
GP,0.1514,3.3433
GP,0.1551,3.2553
GP,0.1588,3.2340
GP,0.1625,3.1807
GP,0.1662,3.1621
GP,0.1699,3.0768
GP,0.1736,3.0449
GP,0.1773,3.0049
GP,0.1810,2.9889
GP,0.1847,2.9436
GP,0.1884,2.9276
GP,0.1921,2.9090
GP,0.1958,2.8823
GP,0.1995,2.8450
GP,0.2032,2.8344
GP,0.2069,2.7971
GP,0.2106,2.7784
GP,0.2143,2.7544
GP,0.2180,2.7198
GP,0.2217,2.6985
GP,0.2254,2.6585
GP,0.2291,2.6052
GP,0.2328,2.5972
GP,0.2365,2.5706
GP,0.2402,2.5466
GP,0.2439,2.5306
GP,0.2475,2.5200
GP,0.2512,2.5147
GP,0.2549,2.4960
GP,0.2586,2.4800
GP,0.2623,2.4720
GP,0.2660,2.4587
GP,0.2697,2.4560
GP,0.2734,2.4427
GP,0.2771,2.4347
GP,0.2808,2.4214
GP,0.2845,2.4054
GP,0.2882,2.3894
GP,0.2919,2.3761
GP,0.2956,2.3655
GP,0.2993,2.3521
GP,0.3030,2.3388
GP,0.3067,2.3308
GP,0.3104,2.3202
GP,0.3141,2.3095
GP,0.3178,2.2935
GP,0.3215,2.2775
GP,0.3252,2.2749
GP,0.3289,2.2615
GP,0.3326,2.2482
GP,0.3363,2.2429
GP,0.3400,2.2349
GP,0.3437,2.2242
GP,0.3474,2.2162
GP,0.3511,2.2083
GP,0.3548,2.2003
GP,0.3585,2.1949
GP,0.3622,2.1923
GP,0.3659,2.1869
GP,0.3696,2.1843
GP,0.3733,2.1763
GP,0.3770,2.1683
GP,0.3806,2.1656
GP,0.3843,2.1603
GP,0.3880,2.1550
GP,0.3917,2.1523
GP,0.3954,2.1416
GP,0.3991,2.1363
GP,0.4028,2.1283
GP,0.4065,2.1230
GP,0.4102,2.1177
GP,0.4139,2.1123
GP,0.4176,2.1043
GP,0.4213,2.0964
GP,0.4250,2.0910
GP,0.4287,2.0857
GP,0.4324,2.0830
GP,0.4361,2.0724
GP,0.4398,2.0644
GP,0.4435,2.0591
GP,0.4472,2.0511
GP,0.4509,2.0404
GP,0.4546,2.0351
GP,0.4583,2.0271
GP,0.4620,2.0218
GP,0.4657,2.0191
GP,0.4694,2.0138
GP,0.4731,2.0058
GP,0.4768,1.9951
GP,0.4805,1.9898
GP,0.4842,1.9871
GP,0.4879,1.9818
GP,0.4916,1.9791
GP,0.4953,1.9658
GP,0.4990,1.9631
GP,0.5027,1.9605
GP,0.5064,1.9578
GP,0.5100,1.9498
GP,0.5137,1.9445
GP,0.5174,1.9365
GP,0.5211,1.9312
GP,0.5248,1.9285
GP,0.5285,1.9232
GP,0.5322,1.9178
GP,0.5359,1.9072
GP,0.5396,1.9019
GP,0.5433,1.8992
GP,0.5470,1.8965
GP,0.5507,1.8885
