# DIGITIZED_EXTERNAL_VALIDATION; log10 PSF [sr^-1]; *_unc = 1-sigma digitization uncertainty (log10); NaN = not resolvable
theta_deg,GP,GP_unc,CS,CS_unc,VOS_VDB_1999_BLACK_SOLID,VOS_VDB_1999_BLACK_SOLID_unc,GP_RECONSTRUCTED,GP_RECONSTRUCTED_unc
0.5000,1.9624,0.0058,2.2326,0.0120,nan,nan,1.9641,0.0072
0.7500,1.6040,0.0064,1.7297,0.0084,nan,nan,1.6350,0.0066
1.0000,1.4302,0.0052,1.3755,0.0085,nan,nan,1.3911,0.0039
1.2500,1.1985,0.0045,1.0992,0.0060,nan,nan,1.2014,0.0046
1.5000,1.0386,0.0037,0.8721,0.0052,nan,nan,1.0396,0.0039
1.7500,0.9027,0.0037,0.6123,0.0044,nan,nan,0.9009,0.0039
2.0000,0.7828,0.0038,0.4498,0.0045,nan,nan,0.7803,0.0045
2.2500,0.6746,0.0041,0.2910,0.0044,nan,nan,0.6751,0.0041
2.5000,0.5777,0.0039,0.1741,0.0050,nan,nan,0.5742,0.0041
2.7500,0.4902,0.0042,0.0475,0.0044,nan,nan,0.4925,0.0046
3.0000,0.4112,0.0041,-0.0683,0.0047,nan,nan,0.4085,0.0041
3.2500,0.3379,0.0040,-0.1763,0.0048,-0.0303,0.0051,0.3375,0.0042
3.5000,0.2686,0.0041,-0.2722,0.0046,-0.1097,0.0048,0.2686,0.0044
3.7500,0.2047,0.0043,-0.3628,0.0047,-0.1817,0.0048,0.2039,0.0043
4.0000,0.1461,0.0041,-0.4506,0.0048,-0.2483,0.0048,0.1456,0.0044
4.2500,0.0886,0.0044,-0.5307,0.0048,-0.3122,0.0049,0.0909,0.0046
4.5000,0.0368,0.0042,-0.6053,0.0048,-0.3708,0.0049,0.0355,0.0045
4.7500,-0.0111,0.0043,-0.6746,0.0050,-0.4262,0.0051,-0.0149,0.0045
5.0000,-0.0591,0.0043,-0.7412,0.0050,-0.4774,0.0050,-0.0598,0.0047
5.2500,-0.1044,0.0043,-0.8026,0.0052,-0.5254,0.0050,-0.1030,0.0046
5.5000,-0.1417,0.0044,-0.8611,0.0050,-0.5733,0.0051,-0.1456,0.0046
5.7500,-0.1817,0.0044,-0.9170,0.0052,-0.6159,0.0051,-0.1856,0.0050
6.0000,-0.2216,0.0044,-0.9730,0.0052,-0.6586,0.0052,-0.2245,0.0047
6.2500,-0.2589,0.0045,-1.0263,0.0052,-0.6999,0.0054,-0.2607,0.0047
6.5000,-0.2962,0.0045,-1.0742,0.0052,-0.7385,0.0054,-0.2980,0.0053
6.7500,-0.3282,0.0045,-1.1195,0.0053,-0.7705,0.0052,-0.3290,0.0048
7.0000,-0.3585,0.0048,-1.1648,0.0054,-0.8078,0.0053,-0.3588,0.0049
7.2500,-0.3815,0.0046,-1.1968,0.0055,-0.8398,0.0053,-0.3818,0.0054
7.5000,-0.4001,0.0046,-1.2234,0.0055,-0.8717,0.0055,-0.3993,0.0049
7.7500,-0.4075,0.0049,-1.2394,0.0054,-0.9037,0.0054,-0.4099,0.0049
