theta_arcmin,psf_sr-1,s_deg2_sr-1,encircled_energy
1.000000000000000056e-01,3.051790796281042974e+06,8.477196656336232650e+00,4.974807856413031130e-03
1.022042723892966909e-01,3.054259580508050509e+06,8.862199973708447587e+00,5.010514190085271075e-03
1.044571329462555542e-01,3.056758386531179771e+06,9.264773676201702557e+00,5.047007588611878044e-03
1.067596526864408035e-01,3.059286788708853535e+06,9.685721893878136868e+00,5.084305401046122427e-03
1.091129262335170658e-01,3.061844303550171666e+06,1.012588540303090667e+01,5.122425358861667707e-03
1.115180723396361623e-01,3.064430386279503815e+06,1.058614325801572242e+01,5.161385584382151281e-03
1.139762344172946806e-01,3.067044427229085006e+06,1.106741449061158455e+01,5.201204599396591459e-03
1.164885810829151824e-01,3.069685748051517177e+06,1.157065987910412730e+01,5.241901333964684231e-03
1.190563067124093821e-01,3.074401238807823509e+06,1.210494603707217109e+01,1.755521750259009250e-02
1.216806320089874049e-01,3.081074136757851578e+06,1.267192404803182271e+01,1.766438298483730476e-02
1.243628045834832413e-01,3.088984504773836117e+06,1.327071260510136952e+01,1.777595477166833346e-02
1.271040995474719826e-01,3.097899308037489653e+06,1.390221220807650759e+01,1.788998590459072238e-02
1.299058201194610851e-01,3.107693611929003615e+06,1.456776450860112249e+01,1.800653059429132424e-02
1.327692982444438063e-01,3.118278074199805502e+06,1.526889680206826938e+01,1.812564424640818531e-02
1.356958952271090646e-01,3.129596673983202782e+06,1.600734450790625729e+01,1.824738348787054501e-02
1.386870023790091888e-01,3.141595976272591390e+06,1.678492302148920245e+01,1.837180619381939550e-02
1.417440416799929659e-01,3.154239011306166183e+06,1.760360933802785510e+01,1.849897151512149354e-02
1.448684664542182476e-01,3.167495296497459989e+06,1.846550560070164337e+01,1.862893990648981091e-02
1.480617620610661100e-01,3.181335232927575707e+06,1.937281635566931470e+01,1.876177315522387784e-02
1.513254466012843857e-01,3.195740406265016180e+06,2.032791900653056771e+01,1.889753441058359199e-02
1.546610716386964124e-01,3.210683654907195829e+06,2.133325116270753696e+01,1.903628821381056491e-02
1.580702229378185830e-01,3.226148231195401400e+06,2.239143611895469377e+01,1.917810052881116847e-02
1.615545212177366408e-01,3.242119173687300179e+06,2.350524092208133453e+01,1.932303877351595339e-02
1.651156229225996808e-01,3.258569927641137969e+06,2.467748400490523508e+01,3.177872190472814246e-02
1.687552210090977889e-01,3.275493707737978082e+06,2.591127030350552474e+01,3.226087446358163330e-02
1.724750457512979618e-01,3.292852927239091601e+06,2.720961335700279804e+01,3.275365497816421639e-02
1.762768655632206694e-01,3.310631066809832118e+06,2.857583466863830779e+01,3.325729771756957831e-02
1.801624878395484131e-01,3.328797602702631615e+06,3.001329175070669919e+01,3.377204211482035673e-02
1.841337598148655996e-01,3.347323057664124761e+06,3.152549907237011340e+01,3.429813288069517851e-02
1.881925694418385697e-01,3.366180626423699781e+06,3.311615137042227985e+01,3.483582012006481571e-02
1.923408462887530312e-01,3.385342209879612084e+06,3.478909415313186315e+01,3.538535945079265832e-02
1.965805624568356114e-01,3.404778437450700905e+06,3.654832699018638209e+01,3.594701212525605594e-02
2.009137335177957895e-01,3.424458695713032037e+06,3.839800667109398802e+01,3.652104515454639155e-02
2.053424194720337159e-01,3.444359237444655970e+06,4.034254478718087000e+01,3.710773143540682661e-02
2.098687257279695517e-01,3.464441469378232956e+06,4.238636551352261250e+01,3.770734987996805093e-02
2.144948041029600128e-01,3.484669578463956714e+06,4.453409752758688001e+01,3.832018554834387691e-02
2.192228538462775989e-01,3.505017036278372630e+06,4.679067244686635973e+01,3.894652978414946815e-02
2.240551226846393407e-01,3.525441936341071967e+06,4.916101276864593927e+01,3.958668035300687282e-02
2.289939078907816949e-01,3.545908291104918811e+06,5.165030085602391807e+01,4.024094158410353173e-02
