theta_arcmin,psf_sr-1,s_deg2_sr-1,encircled_energy
1.000000000000000056e-01,5.648036452763974667e+06,1.568899014656659929e+01,1.284665716758038451e-02
1.022042723892966909e-01,5.633979241449568421e+06,1.634748107334837641e+01,1.297016447227890626e-02
1.044571329462555542e-01,5.619619890821193345e+06,1.703258807243272699e+01,1.309639421439365986e-02
1.067596526864408035e-01,5.604952084992206655e+06,1.774531479824378621e+01,1.322540640386093112e-02
1.091129262335170658e-01,5.589969384192995727e+06,1.848669748659609269e+01,1.335726237339945541e-02
1.115180723396361623e-01,5.574665222723880783e+06,1.925780560310972334e+01,1.349202480766815981e-02
1.139762344172946806e-01,5.559032906893272884e+06,2.005974246780673198e+01,1.362975777306659093e-02
1.164885810829151824e-01,5.543065612942253239e+06,2.089364585141119690e+01,1.377052674819225983e-02
1.190563067124093821e-01,5.524035251761520281e+06,2.174997452687320632e+01,3.381461858272390847e-02
1.216806320089874049e-01,5.502031421753428876e+06,2.262890186722681563e+01,3.419450385910564882e-02
1.243628045834832413e-01,5.477981209505343810e+06,2.353417900774273974e+01,3.458276284174567616e-02
1.271040995474719826e-01,5.452174528416616842e+06,2.446731793149682233e+01,3.497958010993899858e-02
1.299058201194610851e-01,5.424758434476310387e+06,2.542934190363936509e+01,3.538514431161107060e-02
1.327692982444438063e-01,5.395833776839566417e+06,2.642112959115092963e+01,3.579964825300147035e-02
1.356958952271090646e-01,5.365455646070919000e+06,2.744337558974824987e+01,3.622328899032448146e-02
1.386870023790091888e-01,5.333676957895871252e+06,2.849677610868092614e+01,3.665626792345012125e-02
1.417440416799929659e-01,5.300527238765935414e+06,2.958190880981214121e+01,3.709879089165012134e-02
1.448684664542182476e-01,5.266026685978517868e+06,3.069928639543872961e+01,3.755106827145444914e-02
1.480617620610661100e-01,5.230194387691657990e+06,3.184939277334860108e+01,3.801331507666484005e-02
1.513254466012843857e-01,5.193032069309649058e+06,3.303257520426025451e+01,3.848575106057289252e-02
1.546610716386964124e-01,5.154554906415675767e+06,3.424922112225675619e+01,3.896860082043132611e-02
1.580702229378185830e-01,5.114761380883872509e+06,3.549956310634911461e+01,3.946209390422810576e-02
1.615545212177366408e-01,5.073646386442170478e+06,3.678374368056862664e+01,3.996646491981410698e-02
1.651156229225996808e-01,5.031223193715717643e+06,3.810196885291492208e+01,5.708385944563797859e-02
1.687552210090977889e-01,4.987468887400453910e+06,3.945409944353187370e+01,5.718585943134223831e-02
1.724750457512979618e-01,4.942400663313918747e+06,4.084021183931891130e+01,5.729010777456845782e-02
1.762768655632206694e-01,4.895996380444369279e+06,4.225997409027104368e+01,5.739665403524071841e-02
1.801624878395484131e-01,4.848256580937992781e+06,4.371312305915963492e+01,5.750554886571880575e-02
1.841337598148655996e-01,4.799179041524580680e+06,4.519925678380774059e+01,5.761684403487849632e-02
1.881925694418385697e-01,4.748754954909470864e+06,4.671778058294562186e+01,5.773059245272258583e-02
1.923408462887530312e-01,4.696975978954907507e+06,4.826795326333400737e+01,5.784684819553448376e-02
1.965805624568356114e-01,4.643834242265150882e+06,4.984887430784213080e+01,5.796566653158614912e-02
2.009137335177957895e-01,4.589322348215549253e+06,5.145947018230545211e+01,5.808710394741282979e-02
2.053424194720337159e-01,4.533413162672253326e+06,5.309824293751221091e+01,5.821121817466684556e-02
2.098687257279695517e-01,4.476111238955001347e+06,5.476383097549734913e+01,5.833806821756341854e-02
2.144948041029600128e-01,4.417413332399185747e+06,5.645456814055941663e+01,5.846771438093136680e-02
2.192228538462775989e-01,4.357285755567175336e+06,5.816814253280219305e+01,5.860021829888221317e-02
2.240551226846393407e-01,4.295732778773608617e+06,5.990243997810923560e+01,5.873564296411119129e-02
2.289939078907816949e-01,4.232737427992031910e+06,6.165477041489355514e+01,5.887405275784411002e-02
2.340415573755897094e-01,4.168286467394227162e+06,6.342215816472157286e+01,7.706642869992855194e-02
2.392004708042998196e-01,4.102389106173644774e+06,6.520162350590538836e+01,7.736018629898805399e-02
2.444731007373067144e-01,4.035072987132489216e+06,6.699016626664536034e+01,7.766041911569508682e-02
2.498619537961166703e-01,3.966290615643349476e+06,6.878318705023380630e+01,7.796726988148440507e-02
2.553695918550017430e-01,3.896068503675300162e+06,7.057687883105360527e+01,7.828088447398034999e-02
2.609986332589211977e-01,3.824394258809533902e+06,7.236634245558123268e+01,1.124594364771792088e-01
2.667517540682893262e-01,3.751239341785581317e+06,7.414584884474059834e+01,1.126435214816333269e-01
2.726316893311812595e-01,3.676610119554977398e+06,7.590978243856800134e+01,1.128316642210134696e-01
2.786412343835816818e-01,3.600511489146783482e+06,7.765196874793852544e+01,1.130239541388502328e-01
2.847832461782943692e-01,3.522939387755577918e+06,7.936546090490982408e+01,1.132204826502532652e-01
2.910606446431453498e-01,3.443891948275088798e+06,8.104271653664085306e+01,1.134213431853702547e-01
2.974764140691231740e-01,3.363364691636639182e+06,8.267544386065262074e+01,1.136266312338038292e-01
3.040336045291187617e-01,3.281356376773518045e+06,8.425468828623748152e+01,1.138364443900075351e-01
3.107353333279376795e-01,3.197866239439767320e+06,8.577072313102952705e+01,1.140508823996825710e-01
3.175847864842744617e-01,3.112893942491079215e+06,8.721299549019406072e+01,1.142700472071970230e-01
3.245852202453541890e-01,3.026439520234452561e+06,8.857006838976066376e+01,1.144940430040505691e-01
3.317399626349604169e-01,2.938507480484636966e+06,8.982968622005735426e+01,1.252213191978652218e-01
3.390524150355860300e-01,2.849097149998839479e+06,9.097843080299173835e+01,1.253616211883818443e-01
3.465260538054590889e-01,2.758214393604269717e+06,9.200200786216151982e+01,1.255050158169370433e-01
3.541644319312122202e-01,2.667679057794824243e+06,9.294819618928694638e+01,1.394677757168709953e-01
3.619711807169814222e-01,2.580590454320897348e+06,9.392140366785538674e+01,1.405970448939211637e-01
3.699500115107371423e-01,2.494872900737848133e+06,9.484883813866284186e+01,1.626670128861227305e-01
3.781047174686682499e-01,2.409952782354638446e+06,9.570402974501641324e+01,1.627504846865952259e-01
3.864391753584583977e-01,2.325517222189870663e+06,9.646712882866123095e+01,1.628357964329184004e-01
3.949573474023107544e-01,2.241409600374205038e+06,9.712233651164518733e+01,1.629229886825105666e-01
4.036632831605985183e-01,2.157525689867978916e+06,9.765443489641950237e+01,1.630121028867861366e-01
4.125611214570361063e-01,2.073791870157706784e+06,9.804811861887046121e+01,1.631031814108614975e-01
4.216550923462863976e-01,1.990159321360735456e+06,9.828789718318807900e+01,1.786943510426542980e-01
4.309495191249390622e-01,1.906575924739890033e+06,9.835680319133997784e+01,1.786962477957668993e-01
4.404488203868169860e-01,1.823014918827634770e+06,9.823779917288808861e+01,1.786981863584846397e-01
4.501575121235866228e-01,1.739460987027891679e+06,9.791318905662828342e+01,1.787001676524051230e-01
4.600802098716717525e-01,1.655858728413846111e+06,9.736164125121251800e+01,1.787021926194404531e-01
4.702216309064913280e-01,1.573543806272656657e+06,9.664547924507928656e+01,1.888891409518543285e-01
4.805865964850637440e-01,1.498004227972142398e+06,9.610674017648595679e+01,1.919206738001265899e-01
4.911800341380447299e-01,1.426389003145398339e+06,9.559097495490672713e+01,2.053735456498398115e-01
5.020069800122877179e-01,1.357711983436124399e+06,9.504399041491623734e+01,2.081914148576853030e-01
5.130725812650408502e-01,1.291422061933044111e+06,9.443289709063836312e+01,2.085249730997777162e-01
5.243820985109179933e-01,1.227289174272274133e+06,9.374327395606420055e+01,2.180315155109246728e-01
5.359409083228087178e-01,1.165057040517845890e+06,9.295623043157688414e+01,2.181762762287078605e-01
5.477545057879142920e-01,1.104557417172257556e+06,9.205718975750174593e+01,2.183242278670237124e-01
5.598285071201258845e-01,1.045671019287743489e+06,9.103378284749493332e+01,2.184754407624524553e-01
5.721686523299867044e-01,9.882613199190415908e+05,8.987055367528898842e+01,2.186299868019841997e-01
5.847808079535076198e-01,9.325440931373359635e+05,8.858355326881449798e+01,2.298766991216879829e-01
5.976709698411329930e-01,8.842801898627474438e+05,8.774284631843893578e+01,2.404305008588781545e-01
6.108452660081828967e-01,8.412575414066299563e+05,8.719446045202914775e+01,2.406893295462728399e-01
6.243099595481271802e-01,8.019198619882243220e+05,8.682184208279129223e+01,2.409538635229593884e-01
6.380714516100759459e-01,7.656259560049654683e+05,8.658701649703890268e+01,2.474542386332019839e-01
6.521362844419015259e-01,7.318839237463875907e+05,8.646023994476981045e+01,2.474878298754077943e-01
6.665111445004396895e-01,7.003815838022098178e+05,8.642652436227567136e+01,2.488489181312534271e-01
6.812028656302483443e-01,6.708233503586010775e+05,8.646863496928386894e+01,2.528073186916849902e-01
6.962184323124337437e-01,6.429905970447307918e+05,8.657513056378272154e+01,2.552744765611530964e-01
7.115649829850910768e-01,6.187380712054915493e+05,8.702288437685912470e+01,2.661675213443652210e-01
7.272498134369351774e-01,5.986007891315293964e+05,8.794315079011531111e+01,2.662141042290632198e-01
7.432803802757372846e-01,5.808088715571156936e+05,8.913249821050955291e+01,2.723287186147107519e-01
7.596643044732148686e-01,5.647092987745619612e+05,9.052444656225218012e+01,2.746806394631721160e-01
7.764093749880607298e-01,5.499475525921137305e+05,9.208742187822295477e+01,2.748471116172782613e-01
7.935235524688335484e-01,5.362237245900741545e+05,9.379143211047849604e+01,2.784575002128278354e-01
8.110149730384701439e-01,5.233305104310441529e+05,9.561616014271686481e+01,2.789250856440027571e-01
8.288919521622192255e-01,5.110229213483863859e+05,9.752898975445755525e+01,2.909294156589242175e-01
8.471629886008333887e-01,4.988096338591997628e+05,9.944118237497966106e+01,2.944453398449619619e-01
8.658367684509022943e-01,4.865247359385554446e+05,1.013151691650148365e+02,2.992256968176374432e-01
8.849221692742443857e-01,4.741439785706658731e+05,1.031378061753769515e+02,2.994351109755995499e-01
9.044282643183219061e-01,4.616338356816068408e+05,1.048922459108629397e+02,3.027944803551496644e-01
9.243643268296860560e-01,4.490290438477733405e+05,1.065757225032571824e+02,3.053534693933886435e-01
9.447398344625010935e-01,4.365569523323799367e+05,1.082337892320322510e+02,3.177901100200976603e-01
9.655644737842452585e-01,4.244054298858245602e+05,1.099109565417765850e+02,3.222727851797817511e-01
9.868481448807293610e-01,4.122552023442414356e+05,1.115229636869097334e+02,3.224656093534708501e-01
1.008600966062622062e+00,4.000617460817489773e+05,1.130481045273345302e+02,3.296280156601093525e-01
1.030833278675720166e+00,3.878043070731515763e+05,1.144687626971016527e+02,3.296722288610769436e-01
1.053555652017250877e+00,3.756005505617423914e+05,1.158080321613758628e+02,3.350172637127025732e-01
1.076778888360542030e+00,3.657730173651711084e+05,1.178045943865677287e+02,3.464930916240580583e-01
1.100514028090449292e+00,3.570868261875824537e+05,1.201330471913486804e+02,3.492535457407059951e-01
1.124772354951983910e+00,3.488208185610767687e+05,1.225826944641862326e+02,3.523564061369751088e-01
1.149565401414632815e+00,3.406235818088059314e+05,1.250372977405858705e+02,3.546378826411771268e-01
