theta_arcmin,psf_sr-1,s_deg2_sr-1,encircled_energy
1.000000000000000056e-01,2.464289674601158593e+06,6.845249096114330634e+00,6.570830522826109389e-03
1.022042723892966909e-01,2.468083325456324965e+06,7.161358556934106723e+00,6.615973174918269792e-03
1.044571329462555542e-01,2.471931716481442563e+06,7.492213973186968801e+00,6.662110894026294569e-03
1.067596526864408035e-01,2.475831783193681855e+06,7.838499547196438932e+00,6.709265614137668518e-03
1.091129262335170658e-01,2.479778707252915483e+06,8.200924843044585799e+00,6.757459752724707600e-03
1.115180723396361623e-01,2.483767319155537523e+06,8.580229715082838382e+00,6.806716221401880318e-03
1.139762344172946806e-01,2.487794684874161147e+06,8.977194689650392689e+00,6.857058436818046221e-03
1.164885810829151824e-01,2.491853962227288634e+06,9.392620949434743238e+00,6.908510331788791405e-03
1.190563067124093821e-01,2.496862531774501316e+06,9.830982965918268590e+00,9.262062814609364064e-03
1.216806320089874049e-01,2.502766690261072945e+06,1.029344572743880271e+01,9.431388174677292346e-03
1.243628045834832413e-01,2.509239555480530951e+06,1.078004662913402889e+01,9.604445926905277875e-03
1.271040995474719826e-01,2.516172508875478525e+06,1.129164013812803269e+01,9.781318343383161099e-03
1.299058201194610851e-01,2.523503626792449038e+06,1.182928922935054317e+01,9.962089509701746448e-03
1.327692982444438063e-01,2.531186681725330651e+06,1.239415706694196473e+01,1.490865791479360596e-02
1.356958952271090646e-01,2.539184128055719193e+06,1.298748667669807411e+01,1.495691451469336256e-02
1.386870023790091888e-01,2.547456921504804865e+06,1.361055611573265445e+01,1.500623482150072185e-02
1.417440416799929659e-01,2.555973758994465694e+06,1.426472863036369176e+01,1.505664228221335194e-02
1.448684664542182476e-01,2.564706344917404000e+06,1.495143479095150241e+01,1.510816086066461665e-02
1.480617620610661100e-01,2.573626627360205632e+06,1.567216038846318504e+01,1.516081504891604072e-02
1.513254466012843857e-01,2.582710919327078387e+06,1.642847406580280989e+01,1.521462987890090032e-02
1.546610716386964124e-01,2.591931587785896380e+06,1.722197933585896834e+01,1.526963093432446260e-02
1.580702229378185830e-01,2.601264770616238005e+06,1.805436383131057099e+01,1.532584436282654651e-02
1.615545212177366408e-01,2.610686660499228165e+06,1.892737917382210000e+01,1.538329688841218006e-02
1.651156229225996808e-01,2.620168557740642224e+06,1.984280500636877775e+01,1.776886664588864587e-02
1.687552210090977889e-01,2.629688518529314548e+06,2.080253424290466668e+01,1.804138365517537687e-02
1.724750457512979618e-01,2.639213004700536374e+06,2.180843390563643780e+01,1.831990768165395536e-02
1.762768655632206694e-01,2.649011515364482068e+06,2.286504100600910050e+01,2.093985833203239680e-02
1.801624878395484131e-01,2.660418655962884426e+06,2.398701598307117777e+01,2.094227670932070906e-02
1.841337598148655996e-01,2.672720957701372914e+06,2.517201376180208783e+01,2.094474839423185811e-02
1.881925694418385697e-01,2.685637957045784686e+06,2.642104003972282911e+01,2.730962282564707022e-02
1.923408462887530312e-01,2.699016053152790293e+06,2.773613944254275765e+01,2.745109468062045463e-02
1.965805624568356114e-01,2.712748334206205793e+06,2.911978414515772329e+01,2.759568496063164247e-02
2.009137335177957895e-01,2.726742784037332051e+06,3.057460957052723316e+01,2.774346240426272397e-02
2.053424194720337159e-01,2.740927154810106847e+06,3.210349701599722039e+01,2.789449726528137052e-02
2.098687257279695517e-01,2.755216979796248022e+06,3.370922412947184199e+01,2.804886134603966699e-02
2.144948041029600128e-01,2.769554884414410684e+06,3.539492756868044410e+01,3.346915747703085170e-02
2.192228538462775989e-01,2.783868021021253895e+06,3.716360159128374363e+01,3.383556809113357627e-02
2.240551226846393407e-01,2.798082812696770299e+06,3.901825285072759897e+01,3.421005539323441341e-02
2.289939078907816949e-01,2.812124936447016429e+06,4.096188820691580190e+01,3.459279741553689114e-02
2.340415573755897094e-01,2.825972663890259340e+06,4.299831277442680744e+01,3.693630162698954139e-02
2.392004708042998196e-01,2.840290942206274718e+06,4.514237335075647195e+01,3.810936042391251805e-02
2.444731007373067144e-01,2.854793073207592126e+06,4.739519290999251666e+01,4.375819890611350876e-02
2.498619537961166703e-01,2.869274719058576040e+06,4.975879954966455898e+01,4.663119355066457777e-02
2.553695918550017430e-01,2.883601081388491672e+06,5.223613597303724276e+01,4.666616768279203964e-02
2.609986332589211977e-01,2.897691668468640186e+06,5.483099634093704111e+01,5.301285107174921046e-02
2.667517540682893262e-01,2.911431684683404863e+06,5.754646769927784078e+01,5.317477242376306840e-02
2.726316893311812595e-01,2.924746348885285668e+06,6.038629384470915795e+01,5.334026296343173656e-02
2.786412343835816818e-01,2.937544964892643970e+06,6.335381806087843160e+01,5.350940136537322978e-02
2.847832461782943692e-01,2.949723970175633207e+06,6.645195294841443001e+01,5.368226803840840666e-02
2.910606446431453498e-01,2.961217061814374290e+06,6.968426377729009857e+01,5.385894516378759295e-02
2.974764140691231740e-01,2.970883453574336134e+06,7.302779528883222326e+01,7.066164332549702831e-02
3.040336045291187617e-01,2.978762031140354928e+06,7.648503776946893140e+01,7.090189799788586267e-02
3.107353333279376795e-01,2.985226380527242552e+06,8.006745942335096800e+01,7.114744853768216470e-02
3.175847864842744617e-01,2.990400440163444262e+06,8.378113257952610127e+01,7.780886186269780902e-02
3.245852202453541890e-01,2.994292232852187008e+06,8.762926404757709520e+01,7.818164421698522992e-02
3.317399626349604169e-01,2.996938783447542693e+06,9.161592145867626868e+01,8.022520391678163165e-02
3.390524150355860300e-01,2.998310490940613672e+06,9.574316675232921625e+01,8.038947349444779122e-02
3.465260538054590889e-01,2.998381254933629185e+06,1.000129273597502788e+02,8.636698740442942668e-02
3.541644319312122202e-01,2.996065180801917333e+06,1.043899390398432132e+02,9.263846936520697684e-02
3.619711807169814222e-01,2.989680674899505451e+06,1.088103712989654497e+02,9.956170771259241492e-02
3.699500115107371423e-01,2.980760390116336290e+06,1.133210672530324672e+02,1.066601016191617152e-01
3.781047174686682499e-01,2.969732489451725967e+06,1.179339979547390556e+02,1.115920129093083135e-01
3.864391753584583977e-01,2.956885501345481724e+06,1.226575541424246865e+02,1.119253584905893772e-01
3.949573474023107544e-01,2.942425142581104301e+06,1.274979837734152710e+02,1.178892536265002539e-01
4.036632831605985183e-01,2.926410697891578078e+06,1.324558888542947841e+02,1.189167101955729833e-01
4.125611214570361063e-01,2.908379143328107893e+06,1.375070986328041442e+02,1.333504141566174139e-01
4.216550923462863976e-01,2.887237444390455727e+06,1.425918488192543521e+02,1.387025508999198409e-01
4.309495191249390622e-01,2.864291975450256839e+06,1.477636418546143773e+02,1.461609273495875216e-01
4.404488203868169860e-01,2.840179184539569542e+06,1.530502847037840581e+02,1.466312949857073444e-01
4.501575121235866228e-01,2.815266978959900793e+06,1.584696466385098290e+02,1.522060075259936140e-01
4.600802098716717525e-01,2.789740766722905915e+06,1.640319521543592316e+02,1.563126821568972258e-01
4.702216309064913280e-01,2.764040005802457221e+06,1.697645594285176003e+02,1.746327103308792650e-01
4.805865964850637440e-01,2.739001458099167794e+06,1.757248054185386366e+02,1.757221653913589310e-01
4.911800341380447299e-01,2.714944808565702289e+06,1.819449116806627558e+02,1.829096648600734010e-01
5.020069800122877179e-01,2.692286366780254524e+06,1.884682780738752399e+02,1.939737981042449766e-01
5.130725812650408502e-01,2.671224118302500807e+06,1.953284210524581113e+02,1.951154141793558505e-01
5.243820985109179933e-01,2.651883192508615088e+06,2.025571624244329598e+02,1.998684010973935110e-01
5.359409083228087178e-01,2.635818097838910762e+06,2.103036211596383396e+02,2.156487416460917683e-01
5.477545057879142920e-01,2.623540464350634255e+06,2.186538776603460406e+02,2.248213305197385437e-01
5.598285071201258845e-01,2.614920723517813720e+06,2.276491562999227085e+02,2.352821231960116610e-01
5.721686523299867044e-01,2.609864970153635368e+06,2.373360215136854094e+02,2.355869258600144511e-01
5.847808079535076198e-01,2.608448112774772104e+06,2.477798144316738558e+02,2.493134033721106646e-01
5.976709698411329930e-01,2.608474475605517160e+06,2.588263060310670198e+02,2.687264476555845105e-01
6.108452660081828967e-01,2.610996985881591681e+06,2.706239911325513390e+02,2.802144009082804810e-01
6.243099595481271802e-01,2.616493668315007817e+06,2.832811741535399506e+02,2.820854466370851799e-01
6.380714516100759459e-01,2.625225392690198962e+06,2.968948905173186859e+02,2.908554657926192277e-01
6.521362844419015259e-01,2.630918039372815285e+06,3.108003845675667662e+02,3.211679628552946419e-01
6.665111445004396895e-01,2.630464222122855019e+06,3.245971702214225729e+02,3.317231848713445563e-01
6.812028656302483443e-01,2.627997504693798721e+06,3.387469395811609161e+02,3.351740804969125520e-01
6.962184323124337437e-01,2.624703101156691089e+06,3.534017677990989341e+02,3.432865333348503745e-01
7.115649829850910768e-01,2.610451380711822305e+06,3.671489104145510964e+02,3.747970677099640713e-01
7.272498134369351774e-01,2.580398512956563849e+06,3.790980226617540438e+02,3.857469620468245153e-01
7.432803802757372846e-01,2.541755389762472361e+06,3.900646474668694168e+02,3.977172972442113985e-01
7.596643044732148686e-01,2.496406022108362056e+06,4.001807195957807721e+02,4.106556317350050223e-01
7.764093749880607298e-01,2.429067273929465096e+06,4.067415915765187719e+02,4.341169493004263247e-01
7.935235524688335484e-01,2.345570861704361625e+06,4.102661634451923760e+02,4.554753549030989834e-01
8.110149730384701439e-01,2.250792370306660887e+06,4.112355756785253789e+02,4.595421223345046435e-01
8.288919521622192255e-01,2.143318729363354854e+06,4.090534918571822232e+02,4.871279933321588929e-01
8.471629886008333887e-01,2.021004982544025872e+06,4.029014505895282809e+02,5.018993055735665454e-01
8.658367684509022943e-01,1.887997066688819788e+06,3.931613915284817153e+02,5.122440969335545491e-01
8.849221692742443857e-01,1.749262844527251786e+06,3.805070619108398091e+02,5.356954980121154675e-01
9.044282643183219061e-01,1.610412145534751005e+06,3.659171701265351544e+02,5.486107736978326210e-01
9.243643268296860560e-01,1.468234708502501016e+06,3.484811884820113619e+02,5.642396903784521189e-01
9.447398344625010935e-01,1.330240829470591387e+06,3.298011972906216442e+02,5.822787340570472203e-01
9.655644737842452585e-01,1.207081811467254302e+06,3.126056058195066498e+02,5.946706680466207207e-01
9.868481448807293610e-01,1.089281467631072039e+06,2.946715938784093396e+02,5.997517124971531999e-01
1.008600966062622062e+00,9.875567256494134199e+05,2.790604626443694087e+02,6.195514228147642743e-01
1.030833278675720166e+00,9.045934122145136353e+05,2.670101562864086873e+02,6.262593258971199672e-01
1.053555652017250877e+00,8.319568735278939130e+05,2.565153012217381843e+02,6.401168113206928689e-01
1.076778888360542030e+00,7.778343676397250965e+05,2.505172821106389733e+02,6.519954263426597230e-01
1.100514028090449292e+00,7.359499787810536800e+05,2.475922018050938220e+02,6.570272086168883474e-01
1.124772354951983910e+00,7.023013071763260523e+05,2.468028912796105203e+02,6.720400972389249938e-01
1.149565401414632815e+00,6.752796036093743751e+05,2.478840026467812265e+02,6.792950558644085257e-01
1.174904954154923242e+00,6.527051940571841551e+05,2.502764799131045663e+02,6.921796353350319064e-01
1.200803059659839356e+00,6.263950291025879560e+05,2.508934789062469974e+02,7.000891492788019477e-01
1.227272029953750954e+00,6.005679889284585370e+05,2.512704123103137874e+02,7.111405903014953456e-01
1.254324448451582752e+00,5.668205054519776022e+05,2.477210013720228687e+02,7.224256707623207818e-01
1.281973175940998910e+00,5.294609921848737868e+05,2.417070648393437580e+02,7.286870942295985421e-01
1.310231356696456517e+00,4.865921781424949877e+05,2.320377258377318128e+02,7.424787556290476376e-01
1.339112424728023942e+00,4.397065147731262841e+05,2.190253982433508497e+02,7.490290851360678070e-01
1.368630110167945224e+00,3.920016779580193106e+05,2.039659187277792114e+02,7.613859980503366875e-01
1.398798445797978296e+00,3.436220474921790883e+05,1.867621232613301459e+02,7.653156489416602648e-01
1.429631773720614563e+00,3.001001055287403869e+05,1.703774174763634903e+02,7.762945041387656619e-01
1.461144752177350625e+00,2.602029319834945491e+05,1.543107458305281057e+02,7.820444532841691609e-01
1.493352362517253562e+00,2.295883358493786363e+05,1.422236781493275259e+02,7.885101785116023221e-01
1.526269916319131337e+00,2.056566333250640600e+05,1.330769716712795514e+02,7.952431405992700375e-01
1.559913062670695849e+00,1.913399946929347061e+05,1.293314201710928444e+02,7.989737158967377129e-01
1.594297795608178303e+00,1.835004282340539794e+05,1.295607557187426551e+02,8.059928296266014591e-01
1.629440461719935396e+00,1.809579295816470403e+05,1.334603042620114763e+02,8.092925185377706221e-01
1.665357767917656551e+00,1.799401528826559079e+05,1.386247189297311877e+02,8.160747244594032113e-01
1.702066789378873235e+00,1.777203882018252916e+05,1.430170936481878528e+02,8.231587939317777103e-01
1.739584977664540455e+00,1.708571293722840783e+05,1.436223081027900150e+02,8.269646614662777839e-01
1.777930169015553119e+00,1.588446006700675061e+05,1.394759586749808875e+02,8.345651796312769655e-01
1.817120592832139003e+00,1.423760662225311971e+05,1.305876146251670491e+02,8.403043570330614997e-01
1.857174880340162426e+00,1.241449980844692182e+05,1.189412031015375817e+02,8.442748266962634140e-01
1.898112073448454451e+00,1.080639891201642458e+05,1.081489227139523877e+02,8.492784608216825681e-01
1.939951633801385800e+00,9.673042525554787426e+04,1.011212433900488463e+02,8.544251153742313809e-01
1.982713452030979928e+00,9.156781808672689658e+04,9.999085254369543918e+01,8.574513848201288369e-01
2.026417857212970297e+00,9.090795984639636299e+04,1.036949050974451723e+02,8.620016896608513335e-01
2.071085626531293578e+00,9.094371881954291894e+04,1.083593316496499455e+02,8.671625355726202411e-01
2.116737995155615337e+00,8.848818526279303478e+04,1.101328805916165265e+02,8.715049393929281685e-01
2.163396666336582896e+00,8.192905137585989723e+04,1.065142559317097692e+02,8.756460889262676073e-01
2.211083821723605514e+00,7.270317669842825853e+04,9.873276519518924488e+01,8.795494979532455515e-01
2.259822131910065313e+00,6.434998741446038184e+04,9.128396185991275047e+01,8.838253850828160507e-01
2.309634767210974715e+00,5.950756955533984728e+04,8.817720506338980613e+01,8.876719059097313291e-01
2.360545408678203394e+00,5.832576481635617529e+04,9.027815188247926415e+01,8.915125052930688021e-01
2.412578259358507893e+00,5.823837205816864298e+04,9.416067121443350629e+01,8.954007272572930276e-01
2.465758055799722293e+00,5.603052549124861252e+04,9.462875279901076908e+01,8.993800043551206658e-01
2.520110079810574888e+00,5.068640850137873349e+04,8.941863613738722449e+01,9.032960126995825956e-01
2.575660170479722400e+00,4.440551341556085390e+04,8.182980557525620213e+01,9.067130237940465021e-01
2.632434736459718927e+00,4.047770442141567764e+04,7.791635001024434359e+01,9.099413717116814349e-01
2.690460768521755863e+00,3.987526850656047463e+04,8.017785752522422626e+01,9.133047337013189271e-01
2.749765852387140441e+00,4.014867013121317723e+04,8.432572670401825121e+01,9.166974294968239789e-01
2.810378181841619138e+00,3.805947030549301417e+04,8.350063328714894340e+01,9.203199332932484600e-01
2.872326572138772516e+00,3.328894971586258907e+04,7.628958005168622947e+01,9.238129736110477497e-01
2.935640473698859942e+00,2.888135288022997702e+04,6.913862934343477207e+01,9.267088904283252715e-01
3.000349986109622780e+00,2.750362462533603320e+04,6.877510564345826083e+01,9.294351840751530203e-01
3.066485872435704252e+00,2.800036724942148066e+04,7.313801398147184329e+01,9.323768004950491184e-01
3.134079573843488564e+00,2.691597594163909525e+04,7.343915456018422105e+01,9.353047765297056726e-01
3.203163224548308374e+00,2.322730873939497178e+04,6.619947287224019306e+01,9.382422180908346343e-01
3.273769667091132263e+00,1.984838776578557008e+04,5.909067840521907300e+01,9.410358102981689621e-01
3.345932467951992617e+00,1.930500214142828918e+04,6.003461028891533147e+01,9.434819494084462077e-01
3.419685933507571995e+00,1.970618720938384649e+04,6.401364358234303609e+01,9.459807434379092772e-01
3.495065126340542339e+00,1.792876447184546123e+04,6.083568557948421329e+01,9.485334668997262852e-01
3.572105881908404612e+00,1.476349954104934841e+04,5.232815964033925837e+01,9.510618515228338454e-01
3.650844825579754982e+00,1.354972116142955565e+04,5.016659279070890420e+01,9.530808861432445989e-01
3.731319390046076823e+00,1.406322312003239858e+04,5.438851689090464703e+01,9.551620081140359542e-01
3.813567833117336381e+00,1.301902533268391744e+04,5.259432948466239566e+01,9.576610901665595366e-01
3.897629255909841994e+00,1.049732772257363831e+04,4.429730531501695623e+01,9.595364074892815953e-01
