theta_arcmin,psf_sr-1,s_deg2_sr-1,encircled_energy
1.000000000000000056e-01,7.788169850020147860e+06,2.163380513894485802e+01,2.266084098747957534e-02
1.022042723892966909e-01,7.729283190930580720e+06,2.242718782928594479e+01,2.358011418452000962e-02
1.044571329462555542e-01,7.668575206324383616e+06,2.324279668899584550e+01,2.453295927166889573e-02
1.067596526864408035e-01,7.606021625863772817e+06,2.408071399479061725e+01,2.552030563924988227e-02
1.091129262335170658e-01,7.541600457085805014e+06,2.494097492003484007e+01,2.654308514045087067e-02
1.115180723396361623e-01,7.475292207635939121e+06,2.582356400062953838e+01,2.760223005205029653e-02
1.139762344172946806e-01,7.407080112566912547e+06,2.672841157537652279e+01,2.869867088705069236e-02
1.164885810829151824e-01,7.336950365588143468e+06,2.765539022487078569e+01,2.983333405864647958e-02
1.190563067124093821e-01,7.264892352997695096e+06,2.860431123566576517e+01,3.100713939601374217e-02
1.216806320089874049e-01,7.190898888872713782e+06,2.957492111915156485e+01,3.222099751358127595e-02
1.243628045834832413e-01,7.114966449937311001e+06,3.056689821724099332e+01,3.347580703672681929e-02
1.271040995474719826e-01,7.037095408371304162e+06,3.157984942952663943e+01,3.477245168823522165e-02
1.299058201194610851e-01,6.957290260671687312e+06,3.261330709900261837e+01,3.611179724135455543e-02
1.327692982444438063e-01,6.875559850533797406e+06,3.366672609567843466e+01,3.749468834687830210e-02
1.356958952271090646e-01,6.791917583584492095e+06,3.473948113939191984e+01,3.892194524336982375e-02
1.386870023790091888e-01,6.706381631677825935e+06,3.583086440478503221e+01,4.039436036140069824e-02
1.417440416799929659e-01,6.618975124359139241e+06,3.694008345267809545e+01,4.191269483449774208e-02
1.448684664542182476e-01,6.529726325018938631e+06,3.806625953289173481e+01,4.347767493135726302e-02
1.480617620610661100e-01,6.438668789197820239e+06,3.920842630385840977e+01,4.508998842577413568e-02
1.513254466012843857e-01,6.345841502471282147e+06,4.036552901406690097e+01,4.675028092261972884e-02
1.546610716386964124e-01,6.251288995342324488e+06,4.153642418943395853e+01,4.845915216006618093e-02
1.580702229378185830e-01,6.155061432603499852e+06,4.271987986903987178e+01,5.021715231006342040e-02
1.615545212177366408e-01,6.057214674701768905e+06,4.391457642925117710e+01,5.202477830079481336e-02
1.651156229225996808e-01,5.957810308751485310e+06,4.511910803304566997e+01,5.388247018644888586e-02
1.687552210090977889e-01,5.856915646995328367e+06,4.633198473732708322e+01,5.579060759109528284e-02
1.724750457512979618e-01,5.754603690711217001e+06,4.755163528615874924e+01,5.774950625472495547e-02
1.762768655632206694e-01,5.650953057805960998e+06,4.877641061216289131e+01,5.975941471056352150e-02
1.801624878395484131e-01,5.546047872622875497e+06,5.000458806184929728e+01,6.182051112356342498e-02
1.841337598148655996e-01,5.439977616820113733e+06,5.123437635339978158e+01,6.393290032048934424e-02
1.881925694418385697e-01,5.332836940546051599e+06,5.246392126750767915e+01,6.609661104220351802e-02
1.923408462887530312e-01,5.224725433544716798e+06,5.369131206334193251e+01,6.831159344860700255e-02
1.965805624568356114e-01,5.115747356263135560e+06,5.491458860268166831e+01,7.057771690617666016e-02
2.009137335177957895e-01,5.006011331498108804e+06,5.613174915588016489e+01,7.289476808713224454e-02
2.053424194720337159e-01,4.895629997605409473e+06,5.734075885370997838e+01,7.526244940797044425e-02
2.098687257279695517e-01,4.784719624792369083e+06,5.853955873948480360e+01,7.768037783340263347e-02
2.144948041029600128e-01,4.673399696516513824e+06,5.972607536632015268e+01,8.014808406962695142e-02
2.192228538462775989e-01,4.561792458509538323e+06,6.089823087517586231e+01,8.266501216837274235e-02
2.240551226846393407e-01,4.450022438427566551e+06,6.205395348060943661e+01,8.523051956028501741e-02
2.289939078907816949e-01,4.338215939585981891e+06,6.319118828315588132e+01,8.784387753299958967e-02
2.340415573755897094e-01,4.226500512659909204e+06,6.430790832012209535e+01,9.050427216571815814e-02
2.392004708042998196e-01,4.115004409610729199e+06,6.540212576052567783e+01,9.321080572828732702e-02
2.444731007373067144e-01,4.003856024425511248e+06,6.647190314507386688e+01,9.596249854874391860e-02
2.498619537961166703e-01,3.893183325522261206e+06,6.751536456861796864e+01,9.875829134907250506e-02
2.553695918550017430e-01,3.783113284872298595e+06,6.853070670053939750e+01,1.015970480446005964e-01
2.609986332589211977e-01,3.673771309016320854e+06,6.951620953811406878e+01,1.044775589980755370e-01
2.667517540682893262e-01,3.565280677198891528e+06,7.047024678911398610e+01,1.073985447151087624e-01
2.726316893311812595e-01,3.457761991814520210e+06,7.139129578274688015e+01,1.103586599633968185e-01
2.786412343835816818e-01,3.351332646246943157e+06,7.227794681249093856e+01,1.133564982940060001e-01
2.847832461782943692e-01,3.246106314992724918e+06,7.312891182038421789e+01,1.163905969391030581e-01
2.910606446431453498e-01,3.142192470693925861e+06,7.394303233978062906e+01,1.194594420568897974e-01
2.974764140691231740e-01,3.039695932367512956e+06,7.471928662235433194e+01,1.225614742912154442e-01
3.040336045291187617e-01,2.938716448717359919e+06,7.545679588505407764e+01,1.256950946104472555e-01
3.107353333279376795e-01,2.839348319956722669e+06,7.615482962358873920e+01,1.288586703877219464e-01
3.175847864842744617e-01,2.741680061063615605e+06,7.681280995064975059e+01,1.320505416827045808e-01
3.245852202453541890e-01,2.645794108849010430e+06,7.743031492921721792e+01,1.352690276835039618e-01
3.317399626349604169e-01,2.551766574649120681e+06,7.800708088371310112e+01,1.385124332663950075e-01
3.390524150355860300e-01,2.459667043869215064e+06,7.854300368421827727e+01,1.417790556305577321e-01
3.465260538054590889e-01,2.369558423018930014e+06,7.903813901121873187e+01,1.450671909650896041e-01
3.541644319312122202e-01,2.281496834298945032e+06,7.949270162016820507e+01,1.483751411061078607e-01
3.619711807169814222e-01,2.195531557236523833e+06,7.990706363633039189e+01,1.517012201428052376e-01
3.699500115107371423e-01,2.111705016332696658e+06,8.028175192071169874e+01,1.550437609328060296e-01
3.781047174686682499e-01,2.030052813185423845e+06,8.061744455724445402e+01,1.584011214890745645e-01
3.864391753584583977e-01,1.950603801098392345e+06,8.091496651959496944e+01,1.617716912028998866e-01
3.949573474023107544e-01,1.873380199780469760e+06,8.117528458294979998e+01,1.651538968700604626e-01
4.036632831605985183e-01,1.798397747390870238e+06,8.139950155179643332e+01,1.685462084901238888e-01
4.125611214570361063e-01,1.725665886893221876e+06,8.158884987902754915e+01,1.719471448119024026e-01
4.216550923462863976e-01,1.655187983449698659e+06,8.174468475464543360e+01,1.753552786012836373e-01
4.309495191249390622e-01,1.586961569414719241e+06,8.186847674395048102e+01,1.787692416109678550e-01
4.404488203868169860e-01,1.520978613375402056e+06,8.196180405540494007e+01,1.821877292349877164e-01
4.501575121235866228e-01,1.457225809631193522e+06,8.202634451745218769e+01,1.856095048342124021e-01
4.600802098716717525e-01,1.395684884504363174e+06,8.206386734152115991e+01,1.890334037223137253e-01
