theta_arcmin,psf_sr-1,s_deg2_sr-1,encircled_energy
1.000000000000000056e-01,7.791222731284170412e+06,2.164228536467825492e+01,2.266972379928102951e-02
1.022042723892966909e-01,7.732312989239082672e+06,2.243597905275015236e+01,2.358935733745451055e-02
1.044571329462555542e-01,7.671581207736779004e+06,2.325190762261719613e+01,2.454257593365732210e-02
1.067596526864408035e-01,7.609003106925757602e+06,2.409015338324704558e+01,2.553030932881939288e-02
1.091129262335170658e-01,7.544556685722257011e+06,2.495075152179187938e+01,2.655348974959873334e-02
1.115180723396361623e-01,7.478222444130939431e+06,2.583368656809095754e+01,2.761304983566826438e-02
1.139762344172946806e-01,7.409983610632856376e+06,2.673888883363962776e+01,2.870992046154009769e-02
1.164885810829151824e-01,7.339826373525504023e+06,2.766623084908579600e+01,2.984502841267557341e-02
1.190563067124093821e-01,7.267740114946486428e+06,2.861552382700921271e+01,3.101929386373787623e-02
1.216806320089874049e-01,7.193717646156142466e+06,2.958651417943508832e+01,3.223362780717363429e-02
1.243628045834832413e-01,7.117755442497496493e+06,3.057888012218962004e+01,3.348892919589985251e-02
1.271040995474719826e-01,7.039853876296255738e+06,3.159222840077413963e+01,3.478608212511426212e-02
1.299058201194610851e-01,6.960017445811996236e+06,3.262609117486610444e+01,3.612595268380723590e-02
1.327692982444438063e-01,6.878254998206688091e+06,3.367992310078975038e+01,3.750938587148733988e-02
1.356958952271090646e-01,6.794579944362057373e+06,3.475309865327960779e+01,3.893720223660358803e-02
1.386870023790091888e-01,6.709010463255334646e+06,3.584490972951748944e+01,4.041019452610258161e-02
1.417440416799929659e-01,6.621569693498400971e+06,3.695456357969585071e+01,4.192912417188862650e-02
1.448684664542182476e-01,6.532285909560715780e+06,3.808118110917440191e+01,4.349471772178568202e-02
1.480617620610661100e-01,6.441192680136297829e+06,3.922379559758979184e+01,4.510766323007211337e-02
1.513254466012843857e-01,6.348329006082583219e+06,4.038135187997924191e+01,4.676860653887765507e-02
1.546610716386964124e-01,6.253739435358065180e+06,4.155270603402959750e+01,4.847814764186959141e-02
1.580702229378185830e-01,6.157474152419369668e+06,4.273662561590531084e+01,5.023683690508543714e-02
1.615545212177366408e-01,6.059589039610170759e+06,4.393179048469425396e+01,5.204517147093052493e-02
1.651156229225996808e-01,5.960145708186327480e+06,4.513679425230078124e+01,5.390359155036114625e-02
1.687552210090977889e-01,5.859211496776214801e+06,4.635014639158648464e+01,5.581247692689386697e-02
1.724750457512979618e-01,5.756859435273490846e+06,4.757027503069878094e+01,5.777214345827314662e-02
1.762768655632206694e-01,5.653168172402364202e+06,4.879553045584269455e+01,5.978283977724066500e-02
1.801624878395484131e-01,5.548221865482014604e+06,5.002418933826584180e+01,6.184474411979976050e-02
1.841337598148655996e-01,5.442110031246469356e+06,5.125445969398624158e+01,6.395796135021615536e-02
1.881925694418385697e-01,5.334927356945976615e+06,5.248448657686265761e+01,6.612252022581471822e-02
1.923408462887530312e-01,5.226773471362701617e+06,5.371235849707353793e+01,6.833837088131734794e-02
1.965805624568356114e-01,5.117752675812679343e+06,5.493611454804433691e+01,7.060538263714953577e-02
2.009137335177957895e-01,5.007973635671710595e+06,5.615375221547116524e+01,7.292334207847957217e-02
2.053424194720337159e-01,4.897549033448630013e+06,5.736323583247911273e+01,7.529195150591820596e-02
2.098687257279695517e-01,4.786595184927474707e+06,5.856250563529235365e+01,7.771082773514484399e-02
2.144948041029600128e-01,4.675231620402039960e+06,5.974948736425687201e+01,8.017950128657003184e-02
2.192228538462775989e-01,4.563580633523069322e+06,6.092210234583343009e+01,8.269741599545170352e-02
2.240551226846393407e-01,4.451766800760229118e+06,6.207827798246130158e+01,8.526392904100842107e-02
2.289939078907816949e-01,4.339916474938483909e+06,6.321595856917635103e+01,8.787831142162103037e-02
2.340415573755897094e-01,4.228157256731489673e+06,6.433311634873724927e+01,9.053974890595375968e-02
2.392004708042998196e-01,4.116617448374058120e+06,6.542776271095262075e+01,9.324734339714940701e-02
2.444731007373067144e-01,4.005425494182360824e+06,6.649795943706587309e+01,9.600011486164165830e-02
2.498619537961166703e-01,3.894709412736687344e+06,6.754182988659312059e+01,9.879700357526102761e-02
2.553695918550017430e-01,3.784596225780043751e+06,6.855757002202895478e+01,1.016368730412761656e-01
2.609986332589211977e-01,3.675211389011182822e+06,6.954345916642620296e+01,1.045185131192971212e-01
2.667517540682893262e-01,3.566678229998844210e+06,7.049787039006729117e+01,1.074406438365470562e-01
2.726316893311812595e-01,3.459117398412417155e+06,7.141928042528891751e+01,1.104019194180921870e-01
2.786412343835816818e-01,3.352646333652618807e+06,7.230627901297900451e+01,1.134009328695522595e-01
2.847832461782943692e-01,3.247378754775229376e+06,7.315757759027034979e+01,1.164362208554311773e-01
2.910606446431453498e-01,3.143424177334441803e+06,7.397201723641003923e+01,1.195062689215404678e-01
2.974764140691231740e-01,3.040887461435182951e+06,7.474857580255755352e+01,1.226095171349214918e-01
3.040336045291187617e-01,2.939868394881777931e+06,7.548637416118786803e+01,1.257443657855450425e-01
3.107353333279376795e-01,2.840461314852180425e+06,7.618468152165976903e+01,1.289091816719422634e-01
3.175847864842744617e-01,2.742754771021353081e+06,7.684291977013894837e+01,1.321023041278716892e-01
3.245852202453541890e-01,2.646831232514636125e+06,7.746066680421057526e+01,1.353220517555174529e-01
3.317399626349604169e-01,2.552766840503092390e+06,7.803765884493853378e+01,1.385667287087224142e-01
3.390524150355860300e-01,2.460631207668742631e+06,7.857379172158586300e+01,1.418346315605003294e-01
3.465260538054590889e-01,2.370487265179919079e+06,7.906912113646475859e+01,1.451240558095850397e-01
