theta_arcmin,psf_sr-1,s_deg2_sr-1,encircled_energy
1.000000000000000056e-01,1.034980485659467801e+07,2.874945793498522306e+01,3.032009448385815722e-02
1.022042723892966909e-01,1.026592878305876255e+07,2.978748576968779460e+01,3.154139481251174576e-02
1.044571329462555542e-01,1.017952493217489868e+07,3.085327091712910175e+01,3.280659199474895982e-02
1.067596526864408035e-01,1.009056504990825802e+07,3.194679465364734483e+01,3.411684420586069688e-02
1.091129262335170658e-01,9.999024385529564694e+06,3.306796983523523181e+01,3.547330742441089785e-02
1.115180723396361623e-01,9.904881999514643103e+06,3.421663623689167366e+01,3.687713248687955053e-02
1.139762344172946806e-01,9.808121251145925373e+06,3.539255652670072294e+01,3.832946194991090211e-02
1.164885810829151824e-01,9.708729911481110379e+06,3.659541102379557032e+01,3.983142676153599709e-02
1.190563067124093821e-01,9.606700604157673195e+06,3.782479363452608112e+01,4.138414274423504041e-02
1.216806320089874049e-01,9.502031131268469617e+06,3.908020756818652330e+01,4.298870689414299034e-02
1.243628045834832413e-01,9.394724686053864658e+06,4.036106076932239262e+01,4.464619350298646566e-02
1.271040995474719826e-01,9.284790288847383112e+06,4.166666249227304775e+01,4.635765011080986847e-02
1.299058201194610851e-01,9.172243005234548822e+06,4.299621931937520714e+01,4.812409330003958319e-02
1.327692982444438063e-01,9.057104233020260930e+06,4.434883181322747703e+01,4.994650434326251831e-02
1.356958952271090646e-01,8.939402023698315024e+06,4.572349180889413134e+01,5.182582471997679296e-02
1.386870023790091888e-01,8.819171279888451099e+06,4.711907965386692609e+01,5.376295151917562937e-02
1.417440416799929659e-01,8.696454024760873988e+06,4.853436240223802400e+01,5.575873274740213853e-02
1.448684664542182476e-01,8.571299554110864177e+06,4.996799209038780987e+01,5.781396256462794508e-02
1.480617620610661100e-01,8.443764679562438279e+06,5.141850528500214779e+01,5.992937647188887468e-02
1.513254466012843857e-01,8.313913815384930931e+06,5.288432262367095404e+01,6.210564647783918535e-02
1.546610716386964124e-01,8.181819052239326760e+06,5.436374914808992287e+01,6.434337627319795805e-02
1.580702229378185830e-01,8.047560387073161080e+06,5.585497671128702990e+01,6.664309644396564092e-02
1.615545212177366408e-01,7.911225481054926291e+06,5.735608438773574136e+01,6.900525975656804367e-02
1.651156229225996808e-01,7.772909820682656020e+06,5.886504265087893373e+01,7.143023655041458309e-02
1.687552210090977889e-01,7.632716744090615772e+06,6.037971809837631554e+01,7.391831027318901404e-02
1.724750457512979618e-01,7.490756914011585526e+06,6.189787515121273742e+01,7.646967319712805189e-02
1.762768655632206694e-01,7.347148605321409181e+06,6.341718530234557250e+01,7.908442235472255832e-02
1.801624878395484131e-01,7.202017270843924955e+06,6.493523227965891920e+01,8.176255573160777501e-02
1.841337598148655996e-01,7.055495060475501232e+06,6.644951776460743531e+01,8.450396875735970148e-02
1.881925694418385697e-01,6.907720992031793110e+06,6.795747447450695233e+01,8.730845113084050035e-02
1.923408462887530312e-01,6.758840013917043805e+06,6.945647058188448852e+01,9.017568401819101021e-02
1.965805624568356114e-01,6.609002757306216285e+06,7.094382154097756654e+01,9.310523766087985820e-02
2.009137335177957895e-01,6.458365497792570852e+06,7.241680613028006519e+01,9.609656942571373484e-02
2.053424194720337159e-01,6.307088604423218407e+06,7.387266744261897600e+01,9.914902233036967938e-02
2.098687257279695517e-01,6.155336854314465076e+06,7.530863490461965171e+01,1.022618240738735196e-01
2.144948041029600128e-01,6.003278677986449562e+06,7.672193650239275087e+01,1.054340865942017397e-01
2.192228538462775989e-01,5.851084733304357156e+06,7.810980271456830337e+01,1.086648061792853948e-01
2.240551226846393407e-01,5.698928278337342665e+06,7.946949373096545344e+01,1.119528641456116469e-01
2.289939078907816949e-01,5.546983742494460195e+06,8.079830486931086853e+01,1.152970280958733884e-01
2.340415573755897094e-01,5.395425867263094522e+06,8.209357859550071623e+01,1.186959537687652805e-01
2.392004708042998196e-01,5.244429860993625596e+06,8.335273238344065305e+01,1.221481874765415615e-01
