theta_arcmin,THIBOS_ONLY,THIBOS_PLUS_ARIAS,CIE_RAW
1.000000000000000056e-01,2.509106991608649027e+06,1.707734981414207024e+06,7.788169850020147860e+06
1.029522772344191595e-01,2.513478137428984046e+06,1.710676230659157271e+06,7.709183470018433407e+06
1.059917138775270384e-01,2.517978331592256669e+06,1.713704313735973556e+06,7.626939126166076399e+06
1.091208831167039678e-01,2.522611383963316213e+06,1.716821794220105978e+06,7.541381845593870617e+06
1.123424341069555465e-01,2.527381216884784866e+06,1.720031311370858923e+06,7.452464350426895544e+06
1.156590942136875716e-01,2.532291868497714400e+06,1.723335582365788519e+06,7.360148015674430877e+06
1.190736713216936776e-01,2.537347496160273906e+06,1.726737404601064743e+06,7.264403849236759357e+06
1.225890562123111288e-01,2.542552379967371933e+06,1.730239658059748355e+06,7.165213484270125628e+06
1.262082250107565418e-01,2.547910926374184899e+06,1.733845307749984553e+06,7.062570172581617720e+06
1.299342417057136045e-01,2.553427671926662326e+06,1.737557406215178547e+06,6.956479766160741448e+06
1.337702607433065849e-01,2.559107287102166098e+06,1.741379096118279500e+06,6.846961672437943518e+06
1.377195296976543859e-01,2.564954580263499171e+06,1.745313612902359804e+06,6.734049767443186603e+06
1.417853920202673534e-01,2.570974501729663461e+06,1.749364287529740948e+06,6.617793249777124263e+06
1.459712898706136963e-01,2.577172147966803983e+06,1.753534549301986583e+06,6.498257417264850810e+06
1.502807670302518384e-01,2.583552765902872663e+06,1.757827928763150005e+06,6.375524347403189167e+06
1.547174719029964785e-01,2.590903838444606401e+06,1.762805386901816120e+06,6.249693462302252650e+06
1.592851606036575218e-01,2.604875480853634421e+06,1.772493084934771992e+06,6.120881958825844340e+06
1.639877001379672905e-01,2.619259604880778119e+06,1.782466790671294089e+06,5.989225085111502558e+06
1.688290716763880539e-01,2.634068388126946520e+06,1.792734947851703269e+06,5.854876245652017184e+06
1.738133739245713016e-01,2.649314367709585465e+06,1.803306249498944264e+06,5.718006918684016913e+06
1.789448265933222537e-01,2.665010450876607094e+06,1.814189645278098527e+06,5.578806371780184098e+06
1.842277739710078133e-01,2.681169925933664665e+06,1.825394349073172547e+06,5.437481164282967336e+06
1.896666886014310438e-01,2.697806473494032864e+06,1.836929846787572373e+06,5.294254428531966172e+06
1.952661750702877896e-01,2.714934178060619161e+06,1.848805904374871403e+06,5.149364925680514425e+06
2.010309739034089327e-01,2.732567539949903265e+06,1.861032576106667053e+06,5.003065876201471314e+06
2.069659655800904496e-01,2.750721487567907665e+06,1.873620213084527524e+06,4.855623569851729088e+06
2.130761746649073030e-01,2.769411390048586763e+06,1.886579472003236646e+06,4.707315764780678786e+06
2.193667740615105610e-01,2.788653070265337825e+06,1.899921324172752444e+06,4.558429890487498604e+06
2.258430893920082561e-01,2.808462818226648029e+06,1.913657064806518378e+06,4.409261074297650717e+06
2.325106035056374310e-01,2.828857404867216013e+06,1.927798322583994130e+06,4.260110015770017169e+06
2.393749611205450156e-01,2.849854096246227156e+06,1.942357069495494710e+06,4.111280737789075356e+06
2.464419736026065844e-01,2.871470668164801784e+06,1.957345630977680208e+06,3.963078246871746145e+06
2.537176238853296462e-01,2.893725421214990783e+06,1.972776696348271333e+06,3.815806138269215822e+06
2.612080715350054705e-01,2.916637196273056790e+06,1.988663329548826674e+06,3.669764183634603396e+06
2.689196579653987396e-01,2.940225390450162813e+06,2.005018980204677442e+06,3.525245940251271706e+06
2.768589118063891075e-01,2.964509973513970617e+06,2.021857495011382271e+06,3.382536421003260184e+06
2.850325544311098080e-01,2.989511504795044661e+06,2.039193129457339877e+06,3.241909863388137426e+06
2.934475056462629294e-01,3.015251150592386723e+06,2.057040559892487712e+06,3.103627633936517872e+06
3.021108895504284186e-01,3.041750702092822641e+06,2.075414895953300875e+06,2.967936301467740443e+06
3.110300405653269040e-01,3.060486611093695275e+06,2.088551258618049324e+06,2.835065908775043208e+06
3.202125096451417519e-01,3.058230918636752293e+06,2.087502754104758846e+06,2.705228467730132397e+06
3.296660706691575959e-01,3.055908631884925067e+06,2.086423294831420761e+06,2.578616697590248194e+06
3.393987270231273445e-01,3.053517784790005069e+06,2.085311966927700909e+06,2.455403020666142926e+06
3.494187183749395409e-01,3.051056353260592557e+06,2.084167829543279950e+06,2.335738823664952535e+06
3.597345276503221556e-01,3.048522253448496107e+06,2.082989914051328087e+06,2.219753987157808151e+06
3.703548882144879206e-01,3.045913339984549675e+06,2.081777223228466697e+06,2.107556679931727238e+06
3.812887912658028400e-01,3.043227404162341263e+06,2.080528730410518125e+06,1.999233409645879874e+06
3.925454934477351499e-01,3.040462172068323009e+06,2.079243378623331897e+06,1.894849316378233489e+06
4.041345246855309603e-01,3.037615302656714339e+06,2.077920079687950434e+06,1.794448691444329685e+06
4.160656962542501058e-01,3.034684385767572559e+06,2.076557713299356168e+06,1.698055700388289755e+06
4.283491090849918526e-01,3.031666940086353105e+06,2.075155126078022411e+06,1.605675286344502121e+06
4.409951623163453904e-01,3.028560411043226253e+06,2.073711130593460053e+06,1.517294228070553625e+06
4.540145620983007668e-01,3.025362168650378473e+06,2.072224504358940991e+06,1.432882325849223416e+06
4.674183306560767415e-01,3.005224414499773644e+06,2.058900979007476475e+06,1.352393688112339471e+06
4.812178156215381475e-01,2.952923460112391505e+06,2.023083321367311059e+06,1.275768091990799177e+06
4.954246996401021064e-01,2.899078436555245891e+06,1.986208227174732601e+06,1.202932391962833237e+06
5.100510102612663133e-01,2.843643758625755552e+06,1.948244477971136337e+06,1.133801952263257932e+06
5.251091301211345819e-01,2.786572495319779031e+06,1.909159933642470278e+06,1.068282080629061209e+06
5.406118074255574779e-01,2.727816330099824350e+06,1.868921505209412193e+06,1.006269443187704310e+06
5.565721667427642183e-01,2.667325519990263507e+06,1.827495126814237097e+06,9.476534427424989408e+05
5.730037201146244152e-01,2.605048853464922402e+06,1.784845726880656788e+06,8.923175452789162518e+05
5.899203784959432539e-01,2.540933607091399375e+06,1.740937198422221467e+06,8.401405421200181590e+05
6.073364635314784099e-01,2.474925500895397738e+06,1.695732368474138901e+06,7.909977377226473764e+05
6.252667196806448446e-01,2.446009889650598168e+06,1.675875949627004564e+06,7.447620555652072653e+05
6.437263267001759326e-01,2.462057270395061933e+06,1.686747003899679985e+06,7.013050568818909815e+05
6.627309124953079111e-01,2.478578414307964966e+06,1.697939001832789043e+06,6.604978691090878565e+05
6.822965663503653966e-01,2.495587308191474061e+06,1.709461418572953902e+06,6.222120228010438150e+05
7.024398525499508938e-01,2.513098351776932832e+06,1.721324008999393787e+06,5.863201974282687297e+05
7.231778244022705193e-01,2.531126369915673975e+06,1.733536815982405562e+06,5.526968778878871817e+05
7.445280386764667746e-01,2.549686625129742548e+06,1.746110178885660600e+06,5.212189247322421870e+05
7.665085704661794841e-01,2.568794830533145927e+06,1.759054742319509154e+06,4.917660620693546953e+05
