amb,config,donor,file,frames,frames_with_isolated_flash,geom,lum,mean_max_step_rel,scene,sky_median_max_step_rel,source_energy_modulation
DARK,native_default,pcond,d0/work/out/pcond/native_default/S2__PHONE_SDR100_DARK/,48,1,PHONE,SDR100,0.0006628144308780512,S2,0.0,0.002655914975754655
DARK,target_BRIGHT500,pcond,d0/work/out/pcond/target_BRIGHT500/S2__PHONE_BRIGHT500_DARK/,48,0,PHONE,BRIGHT500,0.00138995934717243,S2,0.0,0.005884793875522245
DARK,d1a_photometric,controls,d0/work/out/controls/d1a_photometric/S2__PHONE_BRIGHT500_DARK/,48,0,PHONE,BRIGHT500,0.0065504110026596936,S2,0.0,0.020043552147512977
DARK,d1a_photometric,controls,d0/work/out/controls/d1a_photometric/S2__PHONE_SDR100_DARK/,48,0,PHONE,SDR100,0.0008672535602146629,S2,0.0,0.019007296919955927
DARK,d1b_key018,controls,d0/work/out/controls/d1b_key018/S2__PHONE_BRIGHT500_DARK/,48,0,PHONE,BRIGHT500,3.856765041960645e-05,S2,8.148671037395648e-05,0.00144983815857342
DARK,d1b_key018,controls,d0/work/out/controls/d1b_key018/S2__PHONE_SDR100_DARK/,48,0,PHONE,SDR100,3.854756091690162e-05,S2,7.950900971808483e-05,0.0014498384138064392
DARK,video_whiteauto,mantiuk08,d0/work/out/mantiuk08/video_whiteauto/S2__PHONE_SDR100_DARK/,48,0,PHONE,SDR100,0.00010836496408986967,S2,0.00016972693388194878,0.006702618559692226
DARK,DOCUMENTED_TARGET_CONFIG,aces2,d0/work/out/aces2/DOCUMENTED_TARGET_CONFIG/S2__PHONE_BRIGHT500_PQ_DARK/,48,0,PHONE,BRIGHT500_PQ,0.00811420688480425,S2,0.0,0.027244180468704124
DARK,DOCUMENTED_TARGET_CONFIG,aces2,d0/work/out/aces2/DOCUMENTED_TARGET_CONFIG/S2__PHONE_HDR1000_DARK/,48,0,PHONE,HDR1000,0.008866770714868688,S2,0.0,0.028304791012680578
DARK,DOCUMENTED_TARGET_CONFIG,aces2,d0/work/out/aces2/DOCUMENTED_TARGET_CONFIG/S2__PHONE_SDR100_DARK/,48,0,PHONE,SDR100,0.00047326972057517306,S2,0.0,0.02310138447746119
DARK,defaults,reinhard02,d0/work/out/reinhard02/defaults/S2__PHONE_SDR100_DARK/,48,0,PHONE,SDR100,1.7113174576858717e-05,S2,4.9480900903820105e-05,0.0017808083745476468
