r_arcmin,actual_mean,actual_min,control_mean,expected_mean
0.8,NaN,,NaN,NaN
0.860256,NaN,,NaN,NaN
0.92505,NaN,,NaN,NaN
0.994724,597774,597774,401491,344185
1.06965,NaN,,NaN,NaN
1.15021,NaN,,NaN,NaN
1.23685,NaN,,NaN,NaN
1.33,NaN,,NaN,NaN
1.43018,141160,141160,185095,179086
1.5379,NaN,,NaN,NaN
1.65373,NaN,,NaN,NaN
1.77829,NaN,,NaN,NaN
1.91223,-40519.1,-40519.1,68336.3,101921
2.05626,-40519.1,-40519.1,68336.3,101921
2.21114,26243.8,26243.8,80079.9,85754.7
2.37768,NaN,,NaN,NaN
2.55677,NaN,,NaN,NaN
2.74934,21223.8,21223.8,57637.5,57997.1
2.95642,37951.3,21223.8,61516.2,55078.4
3.1791,18980.5,18980.5,48648.3,47323.4
3.41854,NaN,,NaN,NaN
3.67603,10153.6,10153.6,35967.3,36654.4
3.9529,-876.426,-12944.3,24608.5,28304.4
4.25063,5768.91,5157.51,26099,27128.9
4.57079,6059.31,6059.31,22999.4,23147.4
4.91506,7157.55,3938.14,18667.5,17512
5.28526,4127.06,3027.68,16212.6,15941.7
5.68334,2655.79,2572.65,12596.2,12628.2
6.11141,896.047,-7024.61,10328.9,10846.6
6.57172,1755.47,1482.3,9431.17,9460.5
7.0667,2259.37,1065.89,7717.1,7331.62
7.59896,996.7,885.26,6306.49,6335.56
8.17131,255.759,-4382.1,4963.39,5191.11
8.78677,918.427,440.655,4237.4,4111.01
9.44859,817.49,376.436,3689,3561.1
10.1602,100.257,-2965.79,2741.83,2850.79
10.9255,424.243,205.787,2359.05,2301.04
11.7484,64.3999,-2128.46,1816.93,1876.79
12.6333,226.834,-56.9393,1608.96,1588.88
13.5848,129.898,-1596.68,1280.02,1279.58
14.608,82.636,-1596.68,1026.92,1032.72
15.7083,73.137,-1239.66,842.495,842.964
16.8915,82.1656,32.3604,699.672,689.581
18.1637,36.1962,-989.155,551.862,554.527
19.5318,31.3079,-806.982,452.213,452.807
21.0029,20.7722,-670.539,365.044,366.993
22.5849,15.9067,-670.539,297.434,298.655
24.2859,12.0721,-565.797,240.742,241.657
26.1152,15.2139,-483.694,199.359,197.664
28.0821,11.3886,-418.175,161.878,160.657
30.1973,8.67127,-365.075,131.813,130.896
32.4717,4.42767,-321.453,105.959,106.121
34.9175,1.30251,-285.187,85.3414,86.3087
37.5474,2.21893,-254.717,69.9907,70.2406
40.3755,1.87904,-206.766,57.1088,57.2289
43.4166,1.2733,-187.711,46.3325,46.5009
46.6867,1.57793,-156.724,38.0728,37.9651
50.2031,0.358443,-144.031,30.7001,30.9805
53.9844,0.278269,-122.869,25.068,25.2665
58.0505,0.210071,-106.053,20.5054,20.6404
62.4228,0.318529,-92.4692,16.8329,16.8618
67.1245,0.126262,-81.341,13.7572,13.8086
72.1802,0.289905,-68.0752,11.3571,11.3034
77.6168,0.139267,-60.9605,9.29367,9.2672
83.4629,0.106526,-52.2166,7.64494,7.60663
89.7493,0.0445917,-45.2337,6.26879,6.24051
96.5092,0.0617052,-39.5689,5.18563,5.13833
103.778,0.051617,-33.5404,4.29061,4.23254
111.595,0.0545555,-28.7992,3.54788,3.48415
120,0.0415694,-25.0033,2.94119,2.87512
