Cn2_case,Cn2_m-2/3,L_m,pupil_mm,r0_spherical_mm,D_over_r0,rho0_mm,fresnel_sqrt(L/k)_mm,rytov_plane_sR2,rytov_spherical_b02,sigmaI2_point_allregime,sigmaI2_strong_asymptote,aperture_avg_A_weak,sigmaI2_pupil_weak_only,aoa_rms_one_axis_arcmin_min,aoa_rms_one_axis_arcmin_max,aoa_rms_in_PHONE_px_max,aoa_rms_in_DESKTOP_px_max,seeing_lambda_over_r0_arcmin,diffraction_lambda_over_D_arcmin,isoplanatic_theta0_arcmin,f_scint_weak_Hz_(v/sqrt(lambda L)),f_scint_strong_Hz_(v/rho0)
1e-16 very weak,1e-16,2200,5,402.7,0.01242,191.7,13.88,0.0283,0.0115,0.01154,nan,0.9961,0.01146,0.002724,0.004073,0.004956,0.003286,0.004696,0.3782,0.198,14.4-86.2,2.6-15.6
1e-16 very weak,1e-16,2200,6,402.7,0.0149,191.7,13.88,0.0283,0.0115,0.01154,nan,0.994,0.01144,0.002724,0.003999,0.004865,0.003226,0.004696,0.3151,0.198,14.4-86.2,2.6-15.6
1e-16 very weak,1e-16,2200,7,402.7,0.01738,191.7,13.88,0.0283,0.0115,0.01154,nan,0.9915,0.01141,0.002724,0.003999,0.004865,0.003226,0.004696,0.2701,0.198,14.4-86.2,2.6-15.6
1e-16 very weak,1e-16,3000,5,334.3,0.01496,159.2,16.21,0.04997,0.02031,0.0204,nan,0.9973,0.02026,0.003181,0.004757,0.005787,0.003837,0.005656,0.3782,0.1206,12.3-73.9,3.1-18.8
1e-16 very weak,1e-16,3000,6,334.3,0.01795,159.2,16.21,0.04997,0.02031,0.0204,nan,0.9958,0.02023,0.003181,0.00467,0.005681,0.003767,0.005656,0.3151,0.1206,12.3-73.9,3.1-18.8
1e-16 very weak,1e-16,3000,7,334.3,0.02094,159.2,16.21,0.04997,0.02031,0.0204,nan,0.994,0.02019,0.003181,0.00467,0.005681,0.003767,0.005656,0.2701,0.1206,12.3-73.9,3.1-18.8
1e-16 very weak,1e-16,5000,5,246,0.02032,117.2,20.92,0.1275,0.05182,0.05225,nan,0.9985,0.05175,0.004107,0.006141,0.007471,0.004954,0.007685,0.3782,0.05324,9.5-57.2,4.3-25.6
1e-16 very weak,1e-16,5000,6,246,0.02439,117.2,20.92,0.1275,0.05182,0.05225,nan,0.9977,0.05171,0.004107,0.006028,0.007334,0.004863,0.007685,0.3151,0.05324,9.5-57.2,4.3-25.6
1e-16 very weak,1e-16,5000,7,246,0.02845,117.2,20.92,0.1275,0.05182,0.05225,nan,0.9967,0.05165,0.004107,0.006028,0.007334,0.004863,0.007685,0.2701,0.05324,9.5-57.2,4.3-25.6
1e-16 very weak,1e-16,10000,5,162.3,0.0308,77.3,29.59,0.4543,0.1847,0.1864,nan,0.9993,0.1846,0.005808,0.008684,0.01057,0.007005,0.01165,0.3782,0.01756,6.7-40.5,6.5-38.8
