t_s,dot_x,dot_y,bg_dark_Ylin,bg_dark_Ymax_code,bg_dark_sat,leftchk_neutral_Ylin,leftchk_neutral_Ymax_code,leftchk_neutral_sat,leftchk_colour_Ylin,leftchk_colour_Ymax_code,leftchk_colour_sat,rightchk_neutral_Ylin,rightchk_neutral_Ymax_code,rightchk_neutral_sat,lamp_face_Ylin,lamp_face_Ymax_code,lamp_face_sat,leftchk_edge_rel
27.0000,-1.0,-1.0,0.001665,7.3,0.5898,0.003122,16.4,0.3021,0.002776,14.6,0.4293,0.067887,113.5,0.4130,0.222798,138.9,0.1749,0.15132
27.0333,-1.0,-1.0,0.001665,7.3,0.5898,0.003122,16.4,0.3021,0.002776,14.6,0.4293,0.067887,113.5,0.4130,0.222798,138.9,0.1749,0.15132
27.0667,-1.0,-1.0,0.001665,7.3,0.5898,0.003122,16.4,0.3021,0.002776,14.6,0.4293,0.067887,113.5,0.4130,0.222798,138.9,0.1749,0.15132
27.1000,-1.0,-1.0,0.001665,7.3,0.5898,0.003122,16.4,0.3021,0.002776,14.6,0.4293,0.067887,113.5,0.4130,0.222798,138.9,0.1749,0.15132
27.1333,-1.0,-1.0,0.001665,7.3,0.5898,0.003122,16.4,0.3021,0.002776,14.6,0.4293,0.067887,113.5,0.4130,0.222798,138.9,0.1749,0.15132
27.1667,-1.0,-1.0,0.001665,7.3,0.5898,0.003122,16.4,0.3021,0.002776,14.6,0.4293,0.067887,113.5,0.4130,0.222798,138.9,0.1749,0.15132
27.2000,-1.0,-1.0,0.001665,7.3,0.5898,0.003122,16.4,0.3021,0.002776,14.6,0.4293,0.067887,113.5,0.4130,0.222798,138.9,0.1749,0.15132
27.2333,-1.0,-1.0,0.001665,7.3,0.5898,0.003122,16.4,0.3021,0.002776,14.6,0.4293,0.067887,113.5,0.4130,0.222798,138.9,0.1749,0.15132
27.2667,-1.0,-1.0,0.001665,7.3,0.5898,0.003122,16.4,0.3021,0.002776,14.6,0.4293,0.067887,113.5,0.4130,0.222798,138.9,0.1749,0.15132
27.3000,-1.0,-1.0,0.001665,7.3,0.5898,0.003122,16.4,0.3021,0.002776,14.6,0.4293,0.067887,113.5,0.4130,0.222798,138.9,0.1749,0.15132
27.3333,-1.0,-1.0,0.001665,7.3,0.5898,0.003122,16.4,0.3021,0.002776,14.6,0.4293,0.067887,113.5,0.4130,0.222798,138.9,0.1749,0.15132
27.3667,-1.0,-1.0,0.001665,7.3,0.5898,0.003122,16.4,0.3021,0.002776,14.6,0.4293,0.067887,113.5,0.4130,0.222798,138.9,0.1749,0.15132
