t_rel_s,P1_global_dot_x,P1_global_dot_y,P1_global_leftchk_Ylin,P1_global_leftchk_sat,P1_global_leftchk_edge_rel,P1_global_gazering_R,P1_global_gazering_G,P1_global_gazering_B,P2_afterimages_dot_x,P2_afterimages_dot_y,P2_afterimages_leftchk_Ylin,P2_afterimages_leftchk_sat,P2_afterimages_leftchk_edge_rel,P2_afterimages_gazering_R,P2_afterimages_gazering_G,P2_afterimages_gazering_B,P3_lowlight_dot_x,P3_lowlight_dot_y,P3_lowlight_leftchk_Ylin,P3_lowlight_leftchk_sat,P3_lowlight_leftchk_edge_rel,P3_lowlight_gazering_R,P3_lowlight_gazering_G,P3_lowlight_gazering_B
-0.500,454.9,143.2,0.003194,0.4094,0.12380,0.168339,0.151419,0.110205,454.9,143.2,0.003138,0.4003,0.11463,0.206206,0.187579,0.138290,454.9,143.2,0.003329,0.2460,0.07479,0.191387,0.171522,0.125235
-0.467,454.3,143.2,0.003183,0.4112,0.12948,0.168840,0.152098,0.110489,454.3,143.2,0.003145,0.4017,0.11339,0.210144,0.191232,0.140949,454.3,143.2,0.003329,0.2367,0.08901,0.196421,0.176307,0.128453
-0.433,454.3,143.2,0.003292,0.3937,0.10385,0.171579,0.153940,0.112554,454.3,143.2,0.003178,0.4028,0.11466,0.210910,0.191820,0.140756,454.3,143.2,0.003369,0.2296,0.11644,0.197950,0.177542,0.129330
-0.400,454.3,143.2,0.003296,0.3936,0.10636,0.171852,0.154610,0.112608,454.3,143.2,0.003187,0.4046,0.11451,0.212108,0.192632,0.140909,454.3,143.2,0.003369,0.2298,0.11640,0.199878,0.179136,0.130973
-0.367,454.3,142.9,0.003340,0.3974,0.10775,0.174108,0.156441,0.113954,454.3,142.9,0.003211,0.4057,0.11313,0.215464,0.195796,0.143842,454.3,142.9,0.003417,0.2411,0.09608,0.204975,0.183515,0.134381
-0.333,454.3,142.9,0.003334,0.4005,0.11821,0.174567,0.157267,0.114253,454.3,142.9,0.003216,0.4069,0.11393,0.216552,0.196432,0.143755,454.3,142.9,0.003431,0.2399,0.09560,0.206364,0.184771,0.135229
-0.300,454.3,142.9,0.003384,0.3973,0.10218,0.177272,0.159131,0.116271,454.3,142.9,0.003254,0.4076,0.11283,0.217252,0.196959,0.143687,454.3,142.9,0.003463,0.2444,0.08203,0.207765,0.186275,0.136210
-0.267,453.9,142.9,0.003387,0.3989,0.10413,0.177811,0.160059,0.116747,453.9,142.9,0.003258,0.4076,0.11442,0.219678,0.198911,0.145004,453.9,142.9,0.003475,0.2456,0.08050,0.211036,0.189018,0.138458
-0.233,453.9,142.9,0.003445,0.3987,0.10677,0.180263,0.162112,0.117922,453.9,142.9,0.003298,0.4030,0.11617,0.220275,0.199249,0.144947,453.9,142.9,0.003524,0.2540,0.07750,0.212750,0.190417,0.139213
-0.200,453.9,142.9,0.003447,0.4015,0.11657,0.180744,0.162917,0.118145,453.9,142.9,0.003307,0.4039,0.11805,0.221212,0.199739,0.145262,453.9,142.9,0.003542,0.2555,0.07928,0.214501,0.191770,0.140441
-0.167,453.9,142.9,0.003512,0.3958,0.09565,0.183284,0.164574,0.120126,453.9,142.9,0.003359,0.4011,0.11014,0.222130,0.200517,0.145741,453.9,142.9,0.003616,0.2420,0.08327,0.215783,0.193173,0.140645
