t_s,dot_x,dot_y,sky_upper_right_Ylin,sky_upper_right_Ymax_code,sky_upper_right_sat,grass_Ylin,grass_Ymax_code,grass_sat,water_left_Ylin,water_left_Ymax_code,water_left_sat,sun_disk_Ylin,sun_disk_Ymax_code,sun_disk_sat
577.0000,-1.0,-1.0,0.000000,0.0,0.0000,0.000000,0.0,0.0000,0.000000,0.0,0.0000,0.000000,0.0,0.0000
577.0333,-1.0,-1.0,0.000000,0.0,0.0000,0.000000,0.0,0.0000,0.000000,0.0,0.0000,0.000000,0.0,0.0000
577.0667,-1.0,-1.0,0.000000,0.0,0.0000,0.000000,0.0,0.0000,0.000000,0.0,0.0000,0.000000,0.0,0.0000
577.1000,-1.0,-1.0,0.000000,0.0,0.0000,0.000000,0.0,0.0000,0.000000,0.0,0.0000,0.000000,0.0,0.0000
577.1333,-1.0,-1.0,0.000000,0.0,0.0000,0.000000,0.0,0.0000,0.000000,0.0,0.0000,0.000000,0.0,0.0000
577.1667,-1.0,-1.0,0.000000,0.0,0.0000,0.000000,0.0,0.0000,0.000000,0.0,0.0000,0.000000,0.0,0.0000
577.2000,-1.0,-1.0,0.000000,0.0,0.0000,0.000000,0.0,0.0000,0.000000,0.0,0.0000,0.000000,0.0,0.0000
577.2333,-1.0,-1.0,0.000000,0.0,0.0000,0.000000,0.0,0.0000,0.000000,0.0,0.0000,0.000000,0.0,0.0000
577.2667,-1.0,-1.0,0.000000,0.0,0.0000,0.000000,0.0,0.0000,0.000000,0.0,0.0000,0.000000,0.0,0.0000
577.3000,-1.0,-1.0,0.000000,0.0,0.0000,0.000000,0.0,0.0000,0.000000,0.0,0.0000,0.000000,0.0,0.0000
577.3333,-1.0,-1.0,0.000000,0.0,0.0000,0.000000,0.0,0.0000,0.000000,0.0,0.0000,0.000000,0.0,0.0000
577.3667,-1.0,-1.0,0.000000,0.0,0.0000,0.000000,0.0,0.0000,0.000000,0.0,0.0000,0.000000,0.0,0.0000
577.4000,-1.0,-1.0,0.000000,0.0,0.0000,0.000000,0.0,0.0000,0.000001,1.0,0.0000,0.000000,0.0,0.0000
577.4333,-1.0,-1.0,0.000562,3.4,0.7220,0.000808,16.6,0.0058,0.000816,14.1,0.2373,0.000492,3.1,0.1117
577.4667,-1.0,-1.0,0.002074,10.0,0.7543,0.002819,51.1,0.2285,0.002843,42.6,0.2905,0.001689,9.4,0.3436
577.5000,-1.0,-1.0,0.003938,16.9,0.7601,0.005344,84.6,0.1831,0.005955,71.5,0.2862,0.002917,15.4,0.3233
577.5333,-1.0,-1.0,0.006523,23.0,0.7594,0.008590,118.0,0.1876,0.010213,99.7,0.2918,0.004209,20.7,0.2974
577.5667,-1.0,-1.0,0.009867,29.2,0.7598,0.013073,150.0,0.1891,0.016255,127.5,0.2885,0.006023,27.3,0.3026
577.6000,-1.0,-1.0,0.014099,35.2,0.7600,0.018687,182.9,0.1911,0.024018,156.5,0.2891,0.008026,34.5,0.2973
