t_s,mean_Yp,mean_Ylin,sat,dot_x,dot_y,dot_n
0.0000,4.5461,0.007218,0.0000,-1.00,-1.00,0
0.0333,4.5569,0.007251,0.0000,-1.00,-1.00,0
0.0667,4.5471,0.007234,0.0000,-1.00,-1.00,0
0.1000,4.5607,0.007263,0.0000,-1.00,-1.00,0
0.1333,4.5444,0.007229,0.0000,-1.00,-1.00,0
0.1667,4.5448,0.007230,0.0000,-1.00,-1.00,0
0.2000,4.5443,0.007229,0.0000,-1.00,-1.00,0
0.2333,4.5546,0.007251,0.0000,-1.00,-1.00,0
0.2667,4.5444,0.007230,0.0000,-1.00,-1.00,0
0.3000,4.5444,0.007230,0.0000,-1.00,-1.00,0
0.3333,4.5443,0.007230,0.0000,-1.00,-1.00,0
0.3667,4.5538,0.007249,0.0000,-1.00,-1.00,0
0.4000,4.5418,0.007224,0.0000,-1.00,-1.00,0
0.4333,4.5419,0.007224,0.0000,-1.00,-1.00,0
0.4667,4.5417,0.007224,0.0000,-1.00,-1.00,0
0.5000,4.5510,0.007244,0.0000,-1.00,-1.00,0
0.5333,4.5433,0.007228,0.0000,-1.00,-1.00,0
0.5667,4.5438,0.007229,0.0000,-1.00,-1.00,0
0.6000,4.5422,0.007226,0.0000,-1.00,-1.00,0
0.6333,4.5422,0.007226,0.0000,-1.00,-1.00,0
0.6667,4.5422,0.007226,0.0000,-1.00,-1.00,0
0.7000,4.5515,0.007245,0.0000,-1.00,-1.00,0
0.7333,4.5403,0.007222,0.0000,-1.00,-1.00,0
0.7667,4.5410,0.007223,0.0000,-1.00,-1.00,0
0.8000,4.5401,0.007221,0.0000,-1.00,-1.00,0
0.8333,4.5401,0.007221,0.0000,-1.00,-1.00,0
0.8667,4.5401,0.007221,0.0000,-1.00,-1.00,0
0.9000,4.5401,0.007221,0.0000,-1.00,-1.00,0
0.9333,4.5401,0.007221,0.0000,-1.00,-1.00,0
0.9667,4.5401,0.007221,0.0000,-1.00,-1.00,0
1.0000,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.0333,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.0667,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.1000,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.1333,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.1667,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.2000,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.2333,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.2667,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.3000,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.3333,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.3667,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.4000,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.4333,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.4667,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.5000,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.5333,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.5667,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.6000,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.6333,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.6667,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.7000,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.7333,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.7667,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.8000,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.8333,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.8667,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.9000,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.9333,4.5383,0.007218,0.0000,-1.00,-1.00,0
1.9667,4.5383,0.007218,0.0000,-1.00,-1.00,0
