spectrum,S_over_P,x,y,CCT_K,Lp_cd_m2,luxpy_Lmes_FLAGGED,luxpy_m_FLAGGED,colour_MOVE_Lmes,colour_MOVE_ratio_Lmes_over_Lp
LPS,0.2254,0.5704,0.429,1772,0.005,0.08556,0.411,0.00112,0.224
LPS,0.2254,0.5704,0.429,1772,0.01,0.08792,0.415,0.00224,0.224
LPS,0.2254,0.5704,0.429,1772,0.03,0.09785,0.4304,0.00672,0.224
LPS,0.2254,0.5704,0.429,1772,0.1,0.13802,0.4803,0.06599,0.6599
LPS,0.2254,0.5704,0.429,1772,0.3,0.28342,0.5844,0.19796,0.6599
LPS,0.2254,0.5704,0.429,1772,1.0,0.9099,0.7533,0.87656,0.8766
LPS,0.2254,0.5704,0.429,1772,3.0,2.90822,0.9216,2.62967,0.8766
LPS,0.2254,0.5704,0.429,1772,5.0,5.00007,1.0,4.38279,0.8766
HPS,0.5604,0.5328,0.4152,1962,0.005,0.16249,0.5039,0.00279,0.5588
HPS,0.5604,0.5328,0.4152,1962,0.01,0.16506,0.5062,0.00559,0.5588
HPS,0.5604,0.5328,0.4152,1962,0.03,0.1756,0.5151,0.01676,0.5588
HPS,0.5604,0.5328,0.4152,1962,0.1,0.21572,0.5449,0.08066,0.8066
HPS,0.5604,0.5328,0.4152,1962,0.3,0.3522,0.6159,0.24198,0.8066
HPS,0.5604,0.5328,0.4152,1962,1.0,0.95039,0.7596,0.92981,0.9298
HPS,0.5604,0.5328,0.4152,1962,3.0,2.91993,0.9222,2.78944,0.9298
HPS,0.5604,0.5328,0.4152,1962,5.0,5.00007,1.0,4.64906,0.9298
LED_warm,1.214,0.4559,0.4079,2735,0.005,0.27673,0.581,0.00578,1.1552
LED_warm,1.214,0.4559,0.4079,2735,0.01,0.27941,0.5824,0.01155,1.1552
LED_warm,1.214,0.4559,0.4079,2735,0.03,0.29028,0.5879,0.03466,1.1552
LED_warm,1.214,0.4559,0.4079,2735,0.1,0.33034,0.6066,0.1076,1.076
LED_warm,1.214,0.4559,0.4079,2735,0.3,0.45997,0.6546,0.3228,1.076
LED_warm,1.214,0.4559,0.4079,2735,1.0,1.02291,0.7703,1.03129,1.0313
LED_warm,1.214,0.4559,0.4079,2735,3.0,2.94225,0.9233,3.09386,1.0313
LED_warm,1.214,0.4559,0.4079,2735,5.0,5.00006,1.0,5.15643,1.0313
E,2.2612,0.3333,0.3333,5456,0.005,0.41937,0.6412,0.00959,1.9184
E,2.2612,0.3333,0.3333,5456,0.01,0.42208,0.6421,0.01918,1.9184
E,2.2612,0.3333,0.3333,5456,0.03,0.43305,0.6458,0.05755,1.9184
E,2.2612,0.3333,0.3333,5456,0.1,0.47279,0.6585,0.14497,1.4497
E,2.2612,0.3333,0.3333,5456,0.3,0.59722,0.6924,0.43491,1.4497
E,2.2612,0.3333,0.3333,5456,1.0,1.12566,0.7841,1.18514,1.1851
E,2.2612,0.3333,0.3333,5456,3.0,2.97666,0.9249,3.55541,1.1851
E,2.2612,0.3333,0.3333,5456,5.0,5.00004,1.0,5.92569,1.1851
BLUE,22.2091,0.1433,0.033,n/a,0.005,nan,nan,0.08228,16.4555
BLUE,22.2091,0.1433,0.033,n/a,0.01,nan,nan,0.16456,16.4555
BLUE,22.2091,0.1433,0.033,n/a,0.03,nan,nan,0.49367,16.4555
BLUE,22.2091,0.1433,0.033,n/a,0.1,nan,nan,0.8568,8.568
BLUE,22.2091,0.1433,0.033,n/a,0.3,nan,nan,2.57039,8.568
BLUE,22.2091,0.1433,0.033,n/a,1.0,2.13428,0.8768,4.11574,4.1157
BLUE,22.2091,0.1433,0.033,n/a,3.0,3.43394,0.9456,12.34721,4.1157
BLUE,22.2091,0.1433,0.033,n/a,5.0,4.9998,1.0,20.57868,4.1157
