curve,t_s,pupil_mm
1,0.0000,4.30923
1,0.0971,4.35173
1,0.1942,4.35230
1,0.2913,4.32551
1,0.3883,4.29255
1,0.4854,4.25131
1,0.5825,4.18148
1,0.6796,4.12136
1,0.7767,4.11681
1,0.8738,4.09008
1,0.9709,4.04482
1,1.0680,4.02757
1,1.1650,3.98560
1,1.2621,3.92912
1,1.3592,3.89376
1,1.4563,3.86917
1,1.5534,3.86018
1,1.6505,3.83349
1,1.7476,3.78405
1,1.8447,3.77841
1,1.9417,3.80663
1,2.0388,3.85870
1,2.1359,3.87372
1,2.2330,3.81703
1,2.3301,3.73723
1,2.4272,3.73846
1,2.5243,3.76545
1,2.6214,3.73341
1,2.7184,3.67842
1,2.8155,3.67411
1,2.9126,3.72271
1,3.0097,3.71225
1,3.1068,3.66800
1,3.2039,3.66238
1,3.3010,3.68985
1,3.3981,3.68079
1,3.4951,3.64338
1,3.5922,3.60212
1,3.6893,3.59597
1,3.7864,3.68317
1,3.8835,3.76949
1,3.9806,3.77741
1,4.0777,3.81727
1,4.1748,3.92244
1,4.2718,4.00406
1,4.3689,3.99510
1,4.4660,3.94648
1,4.5631,3.88696
1,4.6602,3.84614
1,4.7573,3.87034
1,4.8544,3.93784
1,4.9515,4.00074
1,5.0485,4.07285
1,5.1456,4.13250
1,5.2427,4.09698
1,5.3398,4.03691
1,5.4369,4.03908
1,5.5340,4.04507
1,5.6311,4.06931
1,5.7282,4.11550
1,5.8252,4.11767
1,5.9223,4.08061
1,6.0194,4.02273
1,6.1165,3.95277
1,6.2136,3.86237
1,6.3107,3.76818
1,6.4078,3.75372
1,6.5049,3.81994
1,6.6019,3.86731
1,6.6990,3.88017
1,6.7961,3.87012
1,6.8932,3.85713
1,6.9903,3.85147
1,7.0874,3.85806
1,7.1845,3.85541
1,7.2816,3.81287
1,7.3786,3.82541
1,7.4757,3.89465
1,7.5728,3.98958
1,7.6699,4.09350
1,7.7670,4.16456
1,7.8641,4.21677
1,7.9612,4.22688
1,8.0583,4.22709
1,8.1553,4.22651
1,8.2524,4.24462
1,8.3495,4.25699
