frame,t_s,pupil_mm,energy_sum,energy_R,energy_G,energy_B,peak,centroid_x,centroid_y,core_hwhm_px,ring_radius_px,ring_to_core,EE_r10,EE_r50,EE_r100
40,0.800,6.69236,52858.4,22713.1,19427.4,10717.9,100.045,255.981,256.049,3,179,0.001966,0.12603,0.26203,0.39104
54,1.080,6.71739,52986.7,22771,19481.3,10734.4,99.7367,255.972,256.031,3,180,0.001986,0.12631,0.26198,0.39090
67,1.340,6.74455,53222.2,22869.6,19562.9,10789.7,99.3896,255.982,256.017,3,178,0.002029,0.12637,0.26151,0.38996
80,1.600,6.73113,53118.1,22827.7,19521.1,10769.4,99.5813,255.975,256.037,3,178,0.002012,0.12628,0.26170,0.39032
94,1.880,6.69222,52858.4,22713.1,19427.4,10717.9,100.045,255.981,256.049,3,179,0.001966,0.12603,0.26203,0.39104
107,2.140,6.69013,52872.9,22711.9,19437.3,10723.7,100.062,255.979,256.049,3,179,0.001964,0.12597,0.26192,0.39089
121,2.420,6.71621,52984.4,22772.9,19478.2,10733.3,99.7498,255.962,256.032,3,180,0.001984,0.12629,0.26198,0.39092
134,2.680,6.70589,52973.8,22770.5,19475.6,10727.7,99.8752,255.987,256.027,3,179,0.001984,0.12609,0.26175,0.39064
147,2.940,6.65259,52489,22569.7,19291.6,10627.7,100.487,256.011,256.012,3,180,0.001932,0.12600,0.26266,0.39223
161,3.220,6.59648,51898.5,22321,19078.9,10498.7,101.033,255.982,256.016,3,180,0.00186,0.12612,0.26373,0.39447
174,3.480,6.59031,51878.7,22310.3,19070,10498.3,101.09,255.962,255.993,3,184,0.001855,0.12601,0.26361,0.39436
188,3.760,6.60478,51992.2,22350.2,19113.6,10528.4,100.954,255.978,256.016,3,182,0.001871,0.12609,0.26353,0.39403
201,4.020,6.61367,52161.4,22424.3,19170.1,10567.1,100.871,255.966,256.006,3,180,0.001886,0.12589,0.26302,0.39319
214,4.280,6.63013,52289.5,22487.1,19220.2,10582.3,100.709,256.000,256.006,3,180,0.001899,0.12597,0.26298,0.39304
228,4.560,6.68014,52720.5,22656.9,19380,10683.6,100.189,255.980,256.019,3,180,0.00195,0.12607,0.26238,0.39168
241,4.820,6.75552,53292.4,22895.6,19585.8,10811,99.2423,255.977,256.002,3,178,0.002035,0.12646,0.26147,0.39001
255,5.100,6.80816,53894.4,23142.3,19811.6,10940.5,98.4928,255.966,256.052,3,175,0.002121,0.12622,0.26021,0.38788
268,5.360,6.78059,53621.2,23021.4,19708.1,10891.6,98.8848,255.965,256.003,3,178,0.002078,0.12626,0.26060,0.38846
281,5.620,6.71009,53015.1,22785,19491.8,10738.4,99.8416,255.978,256.016,3,178,0.001991,0.12605,0.26162,0.39044
295,5.900,6.65166,52471.4,22560.9,19285,10625.5,100.491,256.012,256.016,3,180,0.00193,0.12604,0.26274,0.39232
308,6.160,6.65261,52489,22569.7,19291.6,10627.7,100.487,256.011,256.012,3,180,0.001932,0.12600,0.26266,0.39223
322,6.440,6.69499,52898.6,22732.1,19442.8,10723.6,100.016,255.984,256.056,3,179,0.00197,0.12600,0.26191,0.39088
335,6.700,6.71106,53014.9,22781.3,19491.7,10741.8,99.8338,255.984,256.012,3,178,0.00199,0.12607,0.26164,0.39043
349,6.980,6.67205,52652.8,22635.1,19354.2,10663.5,100.26,255.985,256.015,3,180,0.001947,0.12609,0.26252,0.39194
362,7.240,6.63543,52306.1,22488.2,19228.9,10589,100.663,255.995,256.008,3,182,0.001898,0.12604,0.26306,0.39310
375,7.500,6.64070,52345.8,22506.8,19238.3,10600.6,100.604,256.014,256.015,3,180,0.00191,0.12608,0.26302,0.39285
389,7.780,6.66822,52642.2,22628.4,19350.1,10663.7,100.303,255.995,256.010,3,180,0.001942,0.12603,0.26246,0.39184
402,8.040,6.68841,52870.6,22714,19436,10720.7,100.085,255.985,256.040,3,180,0.001963,0.12593,0.26188,0.39083
416,8.320,6.67809,52676.1,22642.8,19362.4,10670.9,100.208,255.993,256.022,3,180,0.001949,0.12614,0.26256,0.39192
429,8.580,6.64172,52340.2,22501.8,19236.2,10602.3,100.601,256.016,256.019,3,180,0.001909,0.12610,0.26306,0.39291
442,8.840,6.63076,52314.8,22495.9,19230.1,10588.7,100.699,255.998,256.016,3,180,0.001901,0.12593,0.26291,0.39297
456,9.120,6.68339,52780.6,22683.5,19406.5,10690.6,100.16,255.983,256.016,3,180,0.001957,0.12599,0.26209,0.39120
469,9.380,6.75112,53311.1,22901.5,19594.1,10815.5,99.2898,255.962,256.014,3,178,0.002037,0.12633,0.26132,0.38970
